facility
Adams County Correctional Institute 
Alderson Federal Prison Camp 
Aliceville Federal Correctional Institute 
Allenwood Federal Corrections Center 
Ashland Federal Correctional Institute 
Atlanta Residential Reentry Management 
Atlanta US Penitentiary  
Atwater US Penitentiary  
Baltimore Residential Reentry Management 
Bastrop Federal Correctional Institute 
Beaumont Federal Corrections Center 
Beckley Federal Correctional Institute 
Bennettsville Federal Correctional Institute 
Berlin Federal Correctional Institute 
Big Sandy US Penitentiary  
Big Spring Correctional Institute 
Big Spring Federal Correctional Institute 
Brooklyn Metropolitan Detention Center 
Bryan Federal Prison Camp 
Butner Federal Corrections Center 
Canaan US Penitentiary  
Carswell Federal Medical Center 
Central Office HQ 
Chicago Metropolitan Correctional Center 
Chicago Residential Reentry Management 
Cibola County Correctional Institute 
Cincinnati Residential Reentry Management 
Coleman Federal Corrections Center 
Cumberland Federal Correctional Institute 
D. Ray James Correctional Institute 
Dallas Residential Reentry Management 
Danbury Federal Correctional Institute 
Denver Residential Reentry Management 
Detroit Residential Reentry Management 
Devens Federal Medical Center 
Dublin Federal Correctional Institute 
Duluth Federal Prison Camp 
Eden Correctional Institute 
Edgefield Federal Correctional Institute 
El Reno Federal Correctional Institute 
Elkton Federal Correctional Institute 
Englewood Federal Correctional Institute 
Estill Federal Correctional Institute 
Fairton Federal Correctional Institute 
Florence Federal Corrections Center 
Forrest City Federal Corrections Center 
Fort Dix Federal Correctional Institute 
Fort Worth Federal Correctional Institute 
Giles W. Dalby Correctional Institute 
Gilmer Federal Correctional Institute 
Glynco 
Grand Prairie 
Great Plains Correctional Institute 
Greenville Federal Correctional Institute 
Guaynabo Metropolitan Detention Center 
Hazelton Federal Corrections Center 
Herlong Federal Correctional Institute 
Honolulu Federal Detention Center 
Houston Federal Detention Center 
Houston Residential Reentry Management 
Jesup Federal Correctional Institute 
Kansas City Residential Reentry Management 
La Tuna Federal Correctional Institute 
Leavenworth US Penitentiary  
Lee US Penitentiary  
Lewisburg US Penitentiary  
Lexington Federal Medical Center 
Lompoc Federal Corrections Center 
Long Beach Residential Reentry Management 
Loretto Federal Correctional Institute 
Los Angeles Metropolitan Detention Center 
Manchester Federal Correctional Institute 
Marianna Federal Correctional Institute 
Marion US Penitentiary  
McCreary US Penitentiary  
McDowell Federal Correctional Institute 
McKean Federal Correctional Institute 
McRae Correctional Institute 
Memphis Federal Correctional Institute 
Mendota Federal Correctional Institute 
Miami Federal Correctional Institute 
Miami Federal Detention Center 
Miami Residential Reentry Management 
Mid-Atlantic Regional Office 
Milan Federal Correctional Institute 
Minneapolis Residential Reentry Management 
Montgomery Federal Prison Camp 
Montgomery Residential Reentry Management 
Morgantown Federal Correctional Institute 
Moshannon Valley Correctional Institute 
MSTC 
Nashville Residential Reentry Management 
New York Metropolitan Correctional Center 
New York Residential Reentry Management 
North Central Regional Office 
Northeast Regional Office 
Oakdale Federal Corrections Center 
Oklahoma City Federal Transfer Center 
Orlando Residential Reentry Management 
Otisville Federal Correctional Institute 
Oxford Federal Correctional Institute 
Pekin Federal Correctional Institute 
Pensacola Federal Prison Camp 
Petersburg Federal Corrections Center 
Philadelphia Federal Detention Center 
Philadelphia Residential Reentry Management 
Phoenix Federal Correctional Institute 
Phoenix Residential Reentry Management 
Pittsburgh Residential Reentry Management 
Pollock Federal Corrections Center 
Raleigh Residential Reentry Management 
Ray Brook Federal Correctional Institute 
Reeves I & II Correctional Institute 
Reeves III Correctional Institute 
Rivers Correctional Institute 
Rochester Federal Medical Center 
Sacramento Residential Reentry Management 
Safford Federal Correctional Institute 
Salt Lake City Residential Reentry Management 
San Antonio Residential Reentry Management 
San Diego Metropolitan Correctional Center 
Sandstone Federal Correctional Institute 
Schuylkill Federal Correctional Institute 
Seagoville Federal Correctional Institute 
SeaTac Federal Detention Center 
Seattle Residential Reentry Management 
Sheridan Federal Correctional Institute 
South Central Regional Office 
Southeast Regional Office 
Springfield Medical Center for Federal Prisoners
St Louis Residential Reentry Management 
Taft Correctional Institute 
Talladega Federal Correctional Institute 
Tallahassee Federal Correctional Institute 
Terminal Island Federal Correctional Institute 
Terre Haute Federal Corrections Center 
Texarkana Federal Correctional Institute 
Thomson AUS Penitentiary  
Three Rivers Federal Correctional Institute 
Tucson Federal Corrections Center 
Victorville Federal Corrections Center 
Waseca Federal Correctional Institute 
"Washington, DC Residential Reentry Management "
Western Regional Office 
Williamsburg Federal Correctional Institute 
Yankton Federal Prison Camp 
Yazoo City Federal Corrections Center 
