Case ID,Proceeding ID,Source,Case Type,decision,other completion,Court / Base City,Hearing Location,Custody1,Custody2,Attorney,Outcome1,Outcome2,Outcome3,Court Filed Date,Adjournment Date (Last One),Court Closed / Completion Dates,Completion Year,Immigration Judge
6731524,5902274,Washington Post,RMV,,,HOD,HOD,detained,Detained,Y,deport order,,Order of Removal,7/2/2012,,,1899,
6709694,6191867,Washington Post,RMV,,,ELO,EAZ,detained,Detained,no,pending,,Pending,6/6/2013,,,1899,
7405473,6472710,Washington Post,RMV,,,ELO,EAZ,detained,Detained,no,pending,,Pending,4/15/2014,,,1899,
7390528,6934799,Washington Post,RMV,,,HOD,HOD,detained,Detained,no,pending,,Pending,7/20/2015,,,1899,
6454740,6510495,Washington Post,RMV,,,HOD,HUN,detained,Detained,no,pending,,Pending,6/10/2014,,,1899,
7493838,6605298,Washington Post,RMV,,,HOD,HUN,detained,Detained,no,pending,,Pending,8/13/2014,,,1899,
7524586,6647897,Washington Post,RMV,,,HOD,HUN,detained,Detained,no,pending,,Pending,3/18/2014,,,1899,
7697543,6900975,Washington Post,RMV,,,HOD,HUN,detained,Detained,no,pending,,Pending,6/8/2015,,,1899,
2672814,6884384,Washington Post,DEP,,,SDC,LGD,detained,Detained,no,pending,,Pending,5/22/2015,,,1899,
7643858,6821619,Washington Post,RMV,,,YOR,MOS,detained,Detained,no,pending,,Pending,3/19/2015,,,1899,
6626838,6828315,Washington Post,RMV,,,YOR,MOS,detained,Detained,no,pending,,Pending,3/25/2015,,,1899,
7525775,6649576,Washington Post,RMV,,,SNA,PSD,detained,Detained,no,pending,,Pending,9/17/2014,,,1899,
7533897,6661604,Washington Post,RMV,,,SNA,PSD,detained,Detained,no,pending,,Pending,9/25/2014,,,1899,
7651772,6832596,Washington Post,RMV,,,SNA,PSD,detained,Detained,no,pending,,Pending,3/23/2015,,,1899,
7516552,6635631,Washington Post,RMV,,,FLO,RYN,detained,Detained,no,pending,,Pending,7/30/2014,,,1899,
