date,lift_reason,det_facility,city,state,detainer_type
2007-10-01 00:00:00,United States Citizen Interviewed,CENTRAL CA WOMEN'S FACILI,CHOWCHILLA,CALIFORNIA,
2007-10-01 00:00:00,United States Citizen Interviewed,NO. KERN STATE PRISON,DELANO,CALIFORNIA,
2007-10-03 00:00:00,United States Citizen Interviewed,"RIKERS ISLAND, QUEENS, NY",ELMHURST,NEW YORK,
2007-10-10 00:00:00,United States Citizen Interviewed,POLLOCK USP,POLLOCK,LOUISIANA,
2007-10-12 00:00:00,United States Citizen Interviewed,ESTILL FED.CORR.INST.,ESTILL,SOUTH CAROLINA,
2007-11-07 00:00:00,United States Citizen Interviewed,N.C. DEPT OF CORRECTIONS,RALEIGH,NORTH CAROLINA,
2007-11-07 00:00:00,United States Citizen Interviewed,OTHER-OTHER FACILITY,,,
2007-11-09 00:00:00,United States Citizen Interviewed,WASCO STATE PRISON,WASCO,CALIFORNIA,
2007-11-14 00:00:00,United States Citizen Interviewed,N.C. DEPT OF CORRECTIONS,RALEIGH,NORTH CAROLINA,
2007-11-27 00:00:00,United States Citizen Interviewed,LAS COLINAS WOMEN DET FAC,SANTEE,CALIFORNIA,
2007-12-06 00:00:00,United States Citizen Interviewed,CENTRAL CA WOMEN'S FACILI,CHOWCHILLA,CALIFORNIA,
2007-12-13 00:00:00,United States Citizen Interviewed,SAN DIEGO COUNTY JAIL,SAN DIEGO,CALIFORNIA,
2007-12-14 00:00:00,United States Citizen Interviewed,LARIMER COUNTY JAIL,FT COLLINS,COLORADO,
2007-12-23 00:00:00,United States Citizen Interviewed,SAN DIEGO COUNTY JAIL,SAN DIEGO,CALIFORNIA,
2007-12-28 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2008-01-03 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2008-01-08 00:00:00,United States Citizen Interviewed,SAN DIEGO COUNTY JAIL,SAN DIEGO,CALIFORNIA,
2008-01-09 00:00:00,United States Citizen Interviewed,STATEVILLE CORRECTIONS,JOLIET,ILLINOIS,
2008-01-15 00:00:00,United States Citizen Interviewed,ASPC ALHAMBRA,PHOENIX,ARIZONA,
2008-01-15 00:00:00,United States Citizen Interviewed,ARIZONA STATE PRISON COMP,FLORENCE,ARIZONA,
2008-01-15 00:00:00,United States Citizen Interviewed,ASPC ALHAMBRA,PHOENIX,ARIZONA,
2008-01-17 00:00:00,United States Citizen Interviewed,"BEAUMONT FCC, LOW",BEAUMONT,TEXAS,
2008-01-24 00:00:00,United States Citizen Interviewed,FCI VICTORVILLE,VICTORVILLE,CALIFORNIA,
2008-02-01 00:00:00,United States Citizen Interviewed,BSCC GILES DARBY FACILITY,POST,TEXAS,
2008-02-01 00:00:00,United States Citizen Interviewed,"RIKERS ISLAND, QUEENS, NY",ELMHURST,NEW YORK,
