state,count
CALIFORNIA,170
TEXAS,114
PENNSYLVANIA,61
ARIZONA,47
GEORGIA,39
FLORIDA,37
,34
RHODE ISLAND,19
NEW YORK,16
NORTH CAROLINA,13
COLORADO,12
MARYLAND,11
NEW JERSEY,10
NEW MEXICO,8
MISSISSIPPI,7
ILLINOIS,7
VIRGINIA,7
LOUISIANA,6
OREGON,6
MINNESOTA,5
NEVADA,5
SOUTH CAROLINA,5
MASSACHUSETTS,5
OKLAHOMA,5
WEST VIRGINIA,4
UTAH,4
INDIANA,3
MISSOURI,3
NEBRASKA,3
TENNESSEE,3
KENTUCKY,3
IDAHO,2
ARKANSAS,2
KANSAS,2
IOWA,2
DISTRICT OF COLUMBIA,2
WASHINGTON,2
WISCONSIN,2
ALASKA,2
NEW HAMPSHIRE,1
NORTHERN MARIANA ISLANDS,1
ALABAMA,1
OHIO,1
HAWAII,1
