year,det_facility,lift_reason,count
2007,CALIFORNIA CITY CORECTIONS CENTER,Case Closed,252
2007,CALIFORNIA CITY CORECTIONS CENTER,Booked into Detention,92
2007,CALIFORNIA CITY CORECTIONS CENTER,Early Release,64
2007,CALIFORNIA CITY CORECTIONS CENTER,Lifted,59
2007,CALIFORNIA CITY CORECTIONS CENTER,Transferred,1
2008,CALIFORNIA CITY CORECTIONS CENTER,Lifted,914
2008,CALIFORNIA CITY CORECTIONS CENTER,Booked into Detention,700
2008,CALIFORNIA CITY CORECTIONS CENTER,Case Closed,292
2008,CALIFORNIA CITY CORECTIONS CENTER,Early Release,95
2008,CALIFORNIA CITY CORECTIONS CENTER,Transferred,21
2008,CALIFORNIA CITY CORECTIONS CENTER,Lifted - Lack of Funds,3
2008,CALIFORNIA CITY CORECTIONS CENTER,Alien Not Subject to Deportation,1
2009,CALIFORNIA CITY CORECTIONS CENTER,Booked into Detention,1097
2009,CALIFORNIA CITY CORECTIONS CENTER,Lifted,634
2009,CALIFORNIA CITY CORECTIONS CENTER,Case Closed,63
2009,CALIFORNIA CITY CORECTIONS CENTER,Transferred,28
2009,CALIFORNIA CITY CORECTIONS CENTER,Early Release,2
2009,CALIFORNIA CITY CORECTIONS CENTER,Died,2
2009,CALIFORNIA CITY CORECTIONS CENTER,Lifted - Lack of Space,2
2010,CALIFORNIA CITY CORECTIONS CENTER,Booked into Detention,2282
2010,CALIFORNIA CITY CORECTIONS CENTER,Lifted,187
2010,CALIFORNIA CITY CORECTIONS CENTER,Case Closed,50
2010,CALIFORNIA CITY CORECTIONS CENTER,Transferred,12
2010,CALIFORNIA CITY CORECTIONS CENTER,Alien Not Subject to Deportation,3
2010,CALIFORNIA CITY CORECTIONS CENTER,Early Release,2
2011,CALIFORNIA CITY CORECTIONS CENTER,Booked into Detention,1561
2011,CALIFORNIA CITY CORECTIONS CENTER,Lifted,45
2011,CALIFORNIA CITY CORECTIONS CENTER,Case Closed,12
2011,CALIFORNIA CITY CORECTIONS CENTER,Died,1
2012,CALIFORNIA CITY CORECTIONS CENTER,Booked into Detention,805
2012,CALIFORNIA CITY CORECTIONS CENTER,Lifted,15
2012,CALIFORNIA CITY CORECTIONS CENTER,Case Closed,6
2012,CALIFORNIA CITY CORECTIONS CENTER,Early Release,1
2013,CALIFORNIA CITY CORECTIONS CENTER,Booked into Detention,381
2013,CALIFORNIA CITY CORECTIONS CENTER,Lifted,5
2013,CALIFORNIA CITY CORECTIONS CENTER,Case Closed,2
2013,CALIFORNIA CITY CORECTIONS CENTER,Transferred,1
