year,det_facility,lift_reason,count
2007,SOUTH BAY DETENT FACILITY,Booked into Detention,1
2007,SOUTH BAY DETENT FACILITY,Detainer Declined by LEA,1
2007,SOUTH BAY DETENT FACILITY,Case Closed,1
2008,SOUTH BAY DETENT FACILITY,Booked into Detention,10
2008,SOUTH BAY DETENT FACILITY,Lifted,9
2008,SOUTH BAY DETENT FACILITY,Case Closed,4
2008,SOUTH BAY DETENT FACILITY,Detainer Declined by LEA,1
2009,SOUTH BAY DETENT FACILITY,Booked into Detention,6
2009,SOUTH BAY DETENT FACILITY,Case Closed,2
2010,SOUTH BAY DETENT FACILITY,Lifted,5
2010,SOUTH BAY DETENT FACILITY,Booked into Detention,4
2010,SOUTH BAY DETENT FACILITY,Alien Not Subject to Deportation,1
2011,SOUTH BAY DETENT FACILITY,Lifted,8
2011,SOUTH BAY DETENT FACILITY,Booked into Detention,7
2012,SOUTH BAY DETENT FACILITY,Lifted,4
2012,SOUTH BAY DETENT FACILITY,Booked into Detention,2
2013,SOUTH BAY DETENT FACILITY,Booked into Detention,2
2013,SOUTH BAY DETENT FACILITY,Case Closed,1
2013,SOUTH BAY DETENT FACILITY,Detainer Declined by LEA,1
2014,SOUTH BAY DETENT FACILITY,Booked into Detention,1
2014,SOUTH BAY DETENT FACILITY,United States Citizen Interviewed,1
2014,SOUTH BAY DETENT FACILITY,Lifted,1
