year,det_facility,lift_reason,count
2007,CONTRA COSTA CO. JAIL,Case Closed,36
2007,CONTRA COSTA CO. JAIL,Booked into Detention,24
2007,CONTRA COSTA CO. JAIL,Lifted,5
2007,CONTRA COSTA CO. JAIL,Early Release,4
2008,CONTRA COSTA CO. JAIL,Booked into Detention,267
2008,CONTRA COSTA CO. JAIL,Case Closed,137
2008,CONTRA COSTA CO. JAIL,Lifted,32
2008,CONTRA COSTA CO. JAIL,Early Release,16
2008,CONTRA COSTA CO. JAIL,Transferred,3
2009,CONTRA COSTA CO. JAIL,Booked into Detention,272
2009,CONTRA COSTA CO. JAIL,Case Closed,27
2009,CONTRA COSTA CO. JAIL,Lifted,25
2009,CONTRA COSTA CO. JAIL,Transferred,2
2010,CONTRA COSTA CO. JAIL,Booked into Detention,577
2010,CONTRA COSTA CO. JAIL,Lifted,66
2010,CONTRA COSTA CO. JAIL,Case Closed,4
2010,CONTRA COSTA CO. JAIL,Transferred,3
2010,CONTRA COSTA CO. JAIL,Detainer Declined by LEA,1
2011,CONTRA COSTA CO. JAIL,Booked into Detention,634
2011,CONTRA COSTA CO. JAIL,Lifted,24
2011,CONTRA COSTA CO. JAIL,Case Closed,4
2011,CONTRA COSTA CO. JAIL,Transferred,1
2012,CONTRA COSTA CO. JAIL,Booked into Detention,371
2012,CONTRA COSTA CO. JAIL,Lifted,14
2012,CONTRA COSTA CO. JAIL,Transferred,1
2013,CONTRA COSTA CO. JAIL,Booked into Detention,293
2013,CONTRA COSTA CO. JAIL,Lifted,10
2013,CONTRA COSTA CO. JAIL,Detainer Declined by LEA,5
2013,CONTRA COSTA CO. JAIL,Early Release,1
2013,CONTRA COSTA CO. JAIL,Alien Not Subject to Deportation,1
2013,CONTRA COSTA CO. JAIL,Transferred,1
2014,CONTRA COSTA CO. JAIL,Detainer Declined by LEA,367
2014,CONTRA COSTA CO. JAIL,Booked into Detention,24
2014,CONTRA COSTA CO. JAIL,Lifted,2
2014,CONTRA COSTA CO. JAIL,Transferred,2
2015,CONTRA COSTA CO. JAIL,Detainer Declined by LEA,27
2015,CONTRA COSTA CO. JAIL,Booked into Detention,12
2015,CONTRA COSTA CO. JAIL,Lifted,2
