year,det_facility,lift_reason,count
2007,CONTRA COSTA CO JAIL/WEST,Case Closed,7
2007,CONTRA COSTA CO JAIL/WEST,Booked into Detention,7
2007,CONTRA COSTA CO JAIL/WEST,Lifted,2
2008,CONTRA COSTA CO JAIL/WEST,Booked into Detention,64
2008,CONTRA COSTA CO JAIL/WEST,Case Closed,13
2008,CONTRA COSTA CO JAIL/WEST,Lifted,7
2008,CONTRA COSTA CO JAIL/WEST,Alien Not Subject to Deportation,2
2008,CONTRA COSTA CO JAIL/WEST,Early Release,2
2009,CONTRA COSTA CO JAIL/WEST,Booked into Detention,121
2009,CONTRA COSTA CO JAIL/WEST,Lifted,21
2009,CONTRA COSTA CO JAIL/WEST,Case Closed,7
2009,CONTRA COSTA CO JAIL/WEST,Early Release,1
2009,CONTRA COSTA CO JAIL/WEST,Transferred,1
2010,CONTRA COSTA CO JAIL/WEST,Booked into Detention,125
2010,CONTRA COSTA CO JAIL/WEST,Lifted,32
2010,CONTRA COSTA CO JAIL/WEST,Case Closed,2
2011,CONTRA COSTA CO JAIL/WEST,Booked into Detention,56
2011,CONTRA COSTA CO JAIL/WEST,Lifted,2
2011,CONTRA COSTA CO JAIL/WEST,Case Closed,1
2012,CONTRA COSTA CO JAIL/WEST,Booked into Detention,30
2012,CONTRA COSTA CO JAIL/WEST,Detainer Declined by LEA,1
2013,CONTRA COSTA CO JAIL/WEST,Booked into Detention,31
2013,CONTRA COSTA CO JAIL/WEST,Lifted,4
2013,CONTRA COSTA CO JAIL/WEST,Alien Not Subject to Deportation,1
2013,CONTRA COSTA CO JAIL/WEST,Detainer Declined by LEA,1
2014,CONTRA COSTA CO JAIL/WEST,Detainer Declined by LEA,6
2014,CONTRA COSTA CO JAIL/WEST,Booked into Detention,2
2014,CONTRA COSTA CO JAIL/WEST,Lifted,1
2015,CONTRA COSTA CO JAIL/WEST,Detainer Declined by LEA,1
