year,det_facility,lift_reason,count
2007,EAST MESA DETENT FACILITY,Booked into Detention,1
2007,EAST MESA DETENT FACILITY,Case Closed,1
2008,EAST MESA DETENT FACILITY,Booked into Detention,11
2008,EAST MESA DETENT FACILITY,Case Closed,7
2008,EAST MESA DETENT FACILITY,Lifted,4
2008,EAST MESA DETENT FACILITY,United States Citizen Interviewed,1
2009,EAST MESA DETENT FACILITY,Booked into Detention,1
2010,EAST MESA DETENT FACILITY,Booked into Detention,2
2013,EAST MESA DETENT FACILITY,Lifted,3
2013,EAST MESA DETENT FACILITY,Booked into Detention,2
2014,EAST MESA DETENT FACILITY,Detainer Declined by LEA,2
2015,EAST MESA DETENT FACILITY,Booked into Detention,1
