year,det_facility,lift_reason,count
2008,SAN FRANCISCO JUVY HALL,Booked into Detention,41
2008,SAN FRANCISCO JUVY HALL,Lifted,11
2008,SAN FRANCISCO JUVY HALL,Case Closed,6
2008,SAN FRANCISCO JUVY HALL,Transferred,1
2009,SAN FRANCISCO JUVY HALL,Booked into Detention,21
2009,SAN FRANCISCO JUVY HALL,Case Closed,5
2009,SAN FRANCISCO JUVY HALL,Lifted,4
2009,SAN FRANCISCO JUVY HALL,Early Release,1
2010,SAN FRANCISCO JUVY HALL,Booked into Detention,41
2010,SAN FRANCISCO JUVY HALL,Lifted,1
2011,SAN FRANCISCO JUVY HALL,Booked into Detention,14
2012,SAN FRANCISCO JUVY HALL,Booked into Detention,15
2012,SAN FRANCISCO JUVY HALL,Lifted,1
2013,SAN FRANCISCO JUVY HALL,Booked into Detention,9
2014,SAN FRANCISCO JUVY HALL,Booked into Detention,2
