year,det_facility,lift_reason,count
2007,LAS COLINAS WOMEN DET FAC,Case Closed,33
2007,LAS COLINAS WOMEN DET FAC,Booked into Detention,29
2007,LAS COLINAS WOMEN DET FAC,Lifted,8
2007,LAS COLINAS WOMEN DET FAC,Early Release,2
2007,LAS COLINAS WOMEN DET FAC,United States Citizen Interviewed,1
2007,LAS COLINAS WOMEN DET FAC,Transferred,1
2008,LAS COLINAS WOMEN DET FAC,Case Closed,117
2008,LAS COLINAS WOMEN DET FAC,Booked into Detention,72
2008,LAS COLINAS WOMEN DET FAC,Lifted,31
2008,LAS COLINAS WOMEN DET FAC,Transferred,9
2008,LAS COLINAS WOMEN DET FAC,Early Release,7
2008,LAS COLINAS WOMEN DET FAC,Alien Not Subject to Deportation,4
2008,LAS COLINAS WOMEN DET FAC,Died,1
2009,LAS COLINAS WOMEN DET FAC,Booked into Detention,35
2009,LAS COLINAS WOMEN DET FAC,Lifted,26
2009,LAS COLINAS WOMEN DET FAC,Case Closed,17
2009,LAS COLINAS WOMEN DET FAC,Early Release,1
2010,LAS COLINAS WOMEN DET FAC,Booked into Detention,29
2010,LAS COLINAS WOMEN DET FAC,Case Closed,21
2010,LAS COLINAS WOMEN DET FAC,Lifted,16
2010,LAS COLINAS WOMEN DET FAC,Alien Not Subject to Deportation,1
2010,LAS COLINAS WOMEN DET FAC,Died,1
2011,LAS COLINAS WOMEN DET FAC,Booked into Detention,28
2011,LAS COLINAS WOMEN DET FAC,Lifted,4
2011,LAS COLINAS WOMEN DET FAC,Case Closed,4
2011,LAS COLINAS WOMEN DET FAC,Detainer Declined by LEA,1
2012,LAS COLINAS WOMEN DET FAC,Booked into Detention,34
2012,LAS COLINAS WOMEN DET FAC,Prosecutorial Discretion,6
2012,LAS COLINAS WOMEN DET FAC,Lifted,6
2012,LAS COLINAS WOMEN DET FAC,Detainer Declined by LEA,2
2012,LAS COLINAS WOMEN DET FAC,Case Closed,2
2012,LAS COLINAS WOMEN DET FAC,Transferred,2
2012,LAS COLINAS WOMEN DET FAC,Early Release,1
2013,LAS COLINAS WOMEN DET FAC,Booked into Detention,52
2013,LAS COLINAS WOMEN DET FAC,Lifted,21
2013,LAS COLINAS WOMEN DET FAC,Prosecutorial Discretion,5
2013,LAS COLINAS WOMEN DET FAC,Case Closed,2
2013,LAS COLINAS WOMEN DET FAC,Transferred,1
2013,LAS COLINAS WOMEN DET FAC,Detainer Declined by LEA,1
2014,LAS COLINAS WOMEN DET FAC,Booked into Detention,14
2014,LAS COLINAS WOMEN DET FAC,Detainer Declined by LEA,5
2014,LAS COLINAS WOMEN DET FAC,Lifted,4
2014,LAS COLINAS WOMEN DET FAC,Transferred,1
2014,LAS COLINAS WOMEN DET FAC,Prosecutorial Discretion,1
