year,det_facility,lift_reason,count
2007,CCF-SHAFTER,Case Closed,7
2007,CCF-SHAFTER,Booked into Detention,5
2007,CCF-SHAFTER,Early Release,4
2007,CCF-SHAFTER,Lifted,2
2008,CCF-SHAFTER,Lifted,45
2008,CCF-SHAFTER,Case Closed,29
2008,CCF-SHAFTER,Booked into Detention,22
2008,CCF-SHAFTER,Early Release,7
2008,CCF-SHAFTER,Transferred,2
2009,CCF-SHAFTER,Booked into Detention,26
2009,CCF-SHAFTER,Lifted,17
2009,CCF-SHAFTER,Case Closed,3
2010,CCF-SHAFTER,Booked into Detention,80
2010,CCF-SHAFTER,Lifted,5
2010,CCF-SHAFTER,Early Release,1
2010,CCF-SHAFTER,Transferred,1
2011,CCF-SHAFTER,Booked into Detention,25
2011,CCF-SHAFTER,Lifted,1
2014,CCF-SHAFTER,Booked into Detention,2
