year,det_facility,lift_reason,count
2007,TAFT FED.CORR.INST.,Booked into Detention,59
2007,TAFT FED.CORR.INST.,Lifted,44
2007,TAFT FED.CORR.INST.,Early Release,24
2007,TAFT FED.CORR.INST.,Case Closed,22
2007,TAFT FED.CORR.INST.,Transferred,1
2008,TAFT FED.CORR.INST.,Booked into Detention,298
2008,TAFT FED.CORR.INST.,Lifted,270
2008,TAFT FED.CORR.INST.,Case Closed,80
2008,TAFT FED.CORR.INST.,Early Release,25
2008,TAFT FED.CORR.INST.,Transferred,7
2009,TAFT FED.CORR.INST.,Booked into Detention,401
2009,TAFT FED.CORR.INST.,Lifted,201
2009,TAFT FED.CORR.INST.,Case Closed,13
2009,TAFT FED.CORR.INST.,Died,1
2009,TAFT FED.CORR.INST.,Lifted - Lack of Space,1
2009,TAFT FED.CORR.INST.,Alien Not Subject to Deportation,1
2010,TAFT FED.CORR.INST.,Booked into Detention,559
2010,TAFT FED.CORR.INST.,Lifted,34
2010,TAFT FED.CORR.INST.,Case Closed,3
2010,TAFT FED.CORR.INST.,Transferred,2
2010,TAFT FED.CORR.INST.,Early Release,1
2011,TAFT FED.CORR.INST.,Booked into Detention,1129
2011,TAFT FED.CORR.INST.,Lifted,64
2011,TAFT FED.CORR.INST.,Case Closed,14
2011,TAFT FED.CORR.INST.,Transferred,4
2012,TAFT FED.CORR.INST.,Booked into Detention,1163
2012,TAFT FED.CORR.INST.,Lifted,40
2012,TAFT FED.CORR.INST.,Case Closed,15
2012,TAFT FED.CORR.INST.,Early Release,3
2012,TAFT FED.CORR.INST.,Transferred,1
2013,TAFT FED.CORR.INST.,Booked into Detention,1415
2013,TAFT FED.CORR.INST.,Lifted,66
2013,TAFT FED.CORR.INST.,Case Closed,10
2013,TAFT FED.CORR.INST.,Transferred,2
2013,TAFT FED.CORR.INST.,Alien Not Subject to Deportation,1
2013,TAFT FED.CORR.INST.,Prosecutorial Discretion,1
2014,TAFT FED.CORR.INST.,Booked into Detention,622
2014,TAFT FED.CORR.INST.,Lifted,28
2014,TAFT FED.CORR.INST.,Case Closed,4
2014,TAFT FED.CORR.INST.,Detainer Declined by LEA,3
2014,TAFT FED.CORR.INST.,Early Release,1
2015,TAFT FED.CORR.INST.,Booked into Detention,42
2015,TAFT FED.CORR.INST.,Lifted,12
2015,TAFT FED.CORR.INST.,Detainer Declined by LEA,2
2015,TAFT FED.CORR.INST.,Case Closed,2
2015,TAFT FED.CORR.INST.,United States Citizen Interviewed,1
2015,TAFT FED.CORR.INST.,Lifted - Lack of Space,1
