year,det_facility,lift_reason,count
2007,WASCO STATE PRISON,Case Closed,53
2007,WASCO STATE PRISON,Early Release,36
2007,WASCO STATE PRISON,Lifted,28
2007,WASCO STATE PRISON,Booked into Detention,27
2007,WASCO STATE PRISON,Transferred,10
2007,WASCO STATE PRISON,Detainer Declined by LEA,1
2007,WASCO STATE PRISON,United States Citizen Interviewed,1
2008,WASCO STATE PRISON,Lifted,204
2008,WASCO STATE PRISON,Booked into Detention,144
2008,WASCO STATE PRISON,Case Closed,100
2008,WASCO STATE PRISON,Early Release,60
2008,WASCO STATE PRISON,Transferred,60
2008,WASCO STATE PRISON,Alien Not Subject to Deportation,2
2009,WASCO STATE PRISON,Booked into Detention,189
2009,WASCO STATE PRISON,Lifted,151
2009,WASCO STATE PRISON,Transferred,28
2009,WASCO STATE PRISON,Case Closed,11
2009,WASCO STATE PRISON,Early Release,5
2010,WASCO STATE PRISON,Booked into Detention,226
2010,WASCO STATE PRISON,Lifted,63
2010,WASCO STATE PRISON,Transferred,21
2010,WASCO STATE PRISON,Case Closed,16
2010,WASCO STATE PRISON,Early Release,9
2010,WASCO STATE PRISON,Died,1
2011,WASCO STATE PRISON,Booked into Detention,315
2011,WASCO STATE PRISON,Lifted,90
2011,WASCO STATE PRISON,Transferred,43
2011,WASCO STATE PRISON,Case Closed,21
2011,WASCO STATE PRISON,Early Release,13
2011,WASCO STATE PRISON,Alien Not Subject to Deportation,1
2012,WASCO STATE PRISON,Booked into Detention,370
2012,WASCO STATE PRISON,Lifted,76
2012,WASCO STATE PRISON,Transferred,36
2012,WASCO STATE PRISON,Case Closed,22
2012,WASCO STATE PRISON,United States Citizen Interviewed,2
2012,WASCO STATE PRISON,Alien Not Subject to Deportation,1
2013,WASCO STATE PRISON,Booked into Detention,208
2013,WASCO STATE PRISON,Lifted,47
2013,WASCO STATE PRISON,Transferred,23
2013,WASCO STATE PRISON,Case Closed,6
2013,WASCO STATE PRISON,Detainer Declined by LEA,4
2013,WASCO STATE PRISON,Alien Not Subject to Deportation,2
2013,WASCO STATE PRISON,Early Release,2
2014,WASCO STATE PRISON,Booked into Detention,105
2014,WASCO STATE PRISON,Lifted,17
2014,WASCO STATE PRISON,Transferred,3
2014,WASCO STATE PRISON,Detainer Declined by LEA,1
2014,WASCO STATE PRISON,Early Release,1
2014,WASCO STATE PRISON,United States Citizen Interviewed,1
2014,WASCO STATE PRISON,Alien Not Subject to Deportation,1
2015,WASCO STATE PRISON,Booked into Detention,8
2015,WASCO STATE PRISON,Lifted,6
