year,det_facility,city,state,count,det_facility,year,count
2010,HUTTONSVILLE CORREC. CTR,HUTTONSVILLE,WEST VIRGINIA,1,,,
2010,"LEMON CREEK, JUNEAU,AK",JUNEAU,ALASKA,1,,,
2011,ASHLAND COUNTY SHERIFF,ASHLAND,WISCONSIN,1,,,
2014,ANNAPOLIS POLICE DEPT.,ANNAPOLIS,MARYLAND,1,,,
2014,B.R.R.J. DUFFIELD,DUFFIELD,VIRGINIA,1,,,
2014,BEVERLY HILLS POLICE DEPT.,BEVERLY HILLS,CALIFORNIA,1,,,
2014,BROOKLYN HOUSE OF DETENT.,BROOKLYN,NEW YORK,1,,,
2014,BROOKLYN PARK POLICE DEPT.,BROOKLYN PARK,MINNESOTA,1,,,
2014,COOS COUNTY JAIL,WEST STEWARDTOW,NEW HAMPSHIRE,1,,,
2014,EAST MESA DETENT FACILITY,SAN DIEGO,CALIFORNIA,2,,,
2014,ESCAMBIA COUNTY DETENTION CENTER,BREWTON,ALABAMA,1,,,
2014,FRESNO COUNTY JAIL/NEW,FRESNO,CALIFORNIA,8,,,
2014,GATES CORR INST,NIANTIC,CONNECTICUT,1,,,
2014,GRANT PARISH DETENTION CENTER,COLFAX,LOUISIANA,1,,,
2014,GREEN HILL SCHOOL,CHELALIS,WASHINGTON,1,,,
2014,GRENADA COUNTY JAIL,GRENADA,MISSISSIPPI,1,,,
2014,GULF COUNTY JAIL,PORT ST. JOE,FLORIDA,1,,,
2014,KING COUNTY SHERIFF,GUTHRIE,TEXAS,2,,,
2014,"LEELANAU CO,LELAND,MI",SUTTONS BAY,MICHIGAN,1,,,
2014,MANCHESTER POLICE DEPT.,MANCHESTER,CONNECTICUT,1,,,
2014,METRO DADE JAIL,MIAMI,FLORIDA,1,,,
2014,NEW HAVE POLICE DEPT.,NEW HAVEN,CONNECTICUT,1,,,
2014,RIO COSUMNES CORRECTIONS-RCCC,ELK GROVE,CALIFORNIA,1,,,
2014,SAN MIGUEL COUNTY JAIL,TELLURIDE,COLORADO,1,,,
2014,SANTA BARBARA CO JUVENILE,SANTA BARBARA,CALIFORNIA,1,,,
2014,SANTA CRUZ CO JUVENILE,SANTA CRUZ,CALIFORNIA,1,,,
2014,SANTA ROSA CORR. INSTITUTION,MILTON,FLORIDA,1,,,
2014,SMITH COUNTY SHERIFF,CARTHAGE,TENNESSEE,1,,,
2014,SONOMA CO./NORTH COUNTY,SANTA ROSA,CALIFORNIA,12,,,
2014,SPRINGFIELD DRO HOLD,STRAFFORD,MISSOURI,1,,,
2014,STRATFORD POLICE DEPT.,STRATFORD,CONNECTICUT,1,,,
2014,VENICE CITY JAIL,VENICE,ILLINOIS,2,,,
2014,YUMA COUNTY JAIL,WRAY,COLORADO,4,,,
2015,AMADOR COUNTY JAIL,AMADOR,CALIFORNIA,1,,,
2015,BAY COUNTY,PANAMA CITY,FLORIDA,1,,,
2015,BRIDGEPORT POLICE DEPT.,BRIDGEPORT,CONNECTICUT,2,,,
2015,BROOKLYN CENTRAL BOOKING,BROOKLYN,NEW YORK,14,,,
2015,CONTRA COSTA CO JAIL/WEST,RICHMOND,CALIFORNIA,1,,,
2015,COWLITZ COUNTY JAIL,LONGVIEW,WASHINGTON,7,,,
2015,CRAWFORD COUNTY SHERIFF,GIRARD,KANSAS,1,,,
2015,DONA ANA COUNTY DETENTION FACILITY,LAS CRUCES,NEW MEXICO,4,,,
2015,DOUGLAS CO. JAIL,ROSEBURG,OREGON,1,,,
2015,ELBERT COUNTY JAIL,KIOWA,COLORADO,1,,,
2015,FRESNO COUNTY JAIL/MAIN,FRESNO,CALIFORNIA,1,,,
2015,FRESNO COUNTY JAIL/SOUTH,FRESNO,CALIFORNIA,2,,,
2015,GARFIELD COUNTY JAIL,GLENWOOD SPGS,COLORADO,5,,,
2015,GILPIN COUNTY SHERIFF,BLACK HAWK,COLORADO,1,,,
2015,GUNNISON COUNTY JAIL,GUNNISON,COLORADO,1,,,
2015,HAMDEN POLICE DEPT,HAMDEN,CONNECTICUT,1,,,
2015,HAMPDEN CO.HOUSE OF CORR.,LUDLOW,MASSACHUSETTS,1,,,
2015,HANSFORD COUNTY SHERIFF,SPEARMAN,TEXAS,1,,,
2015,HENNEPIN CO. MEDICAL CENT,MINNEAPOLIS,MINNESOTA,1,,,
2015,KEOKUK COUNTY JAIL,SIGOURNEY,IOWA,1,,,
2015,KINGS COUNTY JAIL,HANFORD,CALIFORNIA,2,,,
2015,LANE CO JAIL,EUGENE,OREGON,1,,,
2015,LEA COUNTY JAIL,LOVINGTON,NEW MEXICO,3,,,
2015,LINCOLN COUNTY SHERIFF,MERRILL,WISCONSIN,1,,,
2015,LODI POLICE DEPT.,LODI,CALIFORNIA,4,,,
2015,MARION CO JAIL,SALEM,OREGON,1,,,
2015,MENDOCINO COUNTY JAIL,UKIAH,CALIFORNIA,1,,,
2015,MENTOR CITY JAIL,MENTOR,OHIO,1,,,
2015,MONTEBELLO POLICE DEPT.,MONTEBELLO,CALIFORNIA,1,,,
2015,NORTHERN NECK REG. JAIL,WARSAW,VIRGINIA,1,,,
2015,ORLEANS PARISH SHERIFF,NEW ORLEANS,LOUISIANA,1,,,
2015,OWEN COUNTY JAIL,SPENCER,INDIANA,1,,,
2015,PHILADELPHIA 25TH POLICE DIST.,PHILADELPHIA,PENNSYLVANIA,1,,,
2015,REDONDO BEACH POLICE DEPT.,REDONDO BEACH,CALIFORNIA,1,,,
2015,"ROUNDHOUSE PHI, PA",PHILADELPHIA,PENNSYLVANIA,2,,,
2015,SAC COUNTY JAIL,SAC CITY,IOWA,5,,,
2015,SACRAMENTO HOLD,SACRAMENTO,CALIFORNIA,1,,,
2015,SAN SABA COUNTY JAIL,SAN SABA,TEXAS,1,,,
2015,SANTA BARBARA COUNTY JAIL,SANTA BARBARA,CALIFORNIA,110,,,
2015,SANTA CLARA COUNTY JAIL,SAN JOSE,CALIFORNIA,4,,,
2015,SIOUX COUNTY JAIL,ORANGE CITY,IOWA,1,,,
2015,TALBOT COUNTY DET CENTER,EASTON,MARYLAND,2,,,
2015,THURSTON COUNTY CORRECTIONAL CENTE,OLYMPIA,WASHINGTON,1,,,
2015,"US MARSHALS, S.DIST, MS",JACKSON,MISSISSIPPI,1,,,
2015,VENTURA CUSTODY CASE,CAMARRILLO,CALIFORNIA,8,,,
2015,YAMHILL COUNTY CORRECTION,MCMINNVILLE,OREGON,1,,,
2015,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,2,"ACI, CRANSTON RI",2015,1
2015,ADAMS COUNTY JAIL,BRIGHTON,COLORADO,48,ADAMS COUNTY JAIL,2015,19
2015,ALABAMA DEPT OF CORRECTION,MONTGOMERY,ALABAMA,1,ALABAMA DEPT OF CORRECTION,2015,4
2015,ALICEVILLE FCI,ALICEVILLE,ALABAMA,1,ALICEVILLE FCI,2015,20
2015,ANNE ARUNDEL CTY DET CNTR,ANNAPOLIS,MARYLAND,1,ANNE ARUNDEL CTY DET CNTR,2015,4
2015,ANOKA COUNTY JAIL,ANOKA,MINNESOTA,3,ANOKA COUNTY JAIL,2015,3
2015,ARAPAHOE COUNTY JAIL,CENTENNIAL,COLORADO,11,ARAPAHOE COUNTY JAIL,2015,6
2015,AURORA CITY JAIL,AURORA,COLORADO,4,AURORA CITY JAIL,2015,3
2015,BAKER COUNTY SHERIFF DEPT.,MACCLENNY,FLORIDA,1,BAKER COUNTY SHERIFF DEPT.,2015,5
2015,BALT CITY CENTRAL,BALTIMORE,MARYLAND,6,BALT CITY CENTRAL,2015,1
2015,BALTIMORE CITY DETENTION CENTER,BALTIMORE,MARYLAND,1,BALTIMORE CITY DETENTION CENTER,2015,2
2015,BALTIMORE COUNTY DET. CENTER,TOWSON,MARYLAND,7,BALTIMORE COUNTY DET. CENTER,2015,5
2015,BASTROP COUNTY JAIL,BASTROP,TEXAS,2,BASTROP COUNTY JAIL,2015,8
2015,BECKER COUNTY JAIL,DETROIT LAKES,MINNESOTA,1,BECKER COUNTY JAIL,2015,1
2015,BENTON COUNTY,KENNEWICK,WASHINGTON,1,BENTON COUNTY,2015,7
2015,BENTON COUNTY DETENTION CENTER,BENTONVILLE,ARKANSAS,2,BENTON COUNTY DETENTION CENTER,2015,8
2015,BRAZORIA COUNTY DET. CTR,ANGELTON,TEXAS,1,BRAZORIA COUNTY DET. CTR,2015,4
2015,BRONX CENTRAL BOOKING,BRONX,NEW YORK,12,BRONX CENTRAL BOOKING,2015,2
2015,BROOMFIELD DETENTION CENTER,BROOMFIELD,COLORADO,1,BROOMFIELD DETENTION CENTER,2015,1
2015,BROWARD COUNTY JAIL,FORT LAUDERDALE,FLORIDA,18,BROWARD COUNTY JAIL,2015,15
2015,CALHOUN COUNTY JAIL,BLOUNTSTOWN,FLORIDA,1,CALHOUN COUNTY JAIL,2015,2
2015,CAMERON COUNTY JAIL,OLMITO,TEXAS,1,CAMERON COUNTY JAIL,2015,41
2015,CHAMPAIGN COUNTY JAIL,URNANA,ILLINOIS,1,CHAMPAIGN COUNTY JAIL,2015,1
2015,CHARLES COUNTY DET CNTR,LA PLATA,MARYLAND,3,CHARLES COUNTY DET CNTR,2015,3
2015,CHATHAM COUNTY JAIL,SAVANNAH,GEORGIA,1,CHATHAM COUNTY JAIL,2015,1
2015,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,1,"CHESTER CNTY JAIL, PA",2015,13
2015,CI WILLACY,RAYMONDVILLE,TEXAS,1,CI WILLACY,2015,78
2015,CLACKAMAS CO JAIL,OREGON CITY,OREGON,2,CLACKAMAS CO JAIL,2015,1
2015,CLARK COUNTY DET.CENTER,LAS VEGAS,NEVADA,121,CLARK COUNTY DET.CENTER,2015,8
2015,CLARK COUNTY JAIL,VANCOUVER,WASHINGTON,17,CLARK COUNTY JAIL,2015,6
2015,CONTRA COSTA CO. JAIL,MARTINEZ,CALIFORNIA,27,CONTRA COSTA CO. JAIL,2015,14
2015,CONVERSE COUNTY JAIL,DOUGLAS,WYOMING,1,CONVERSE COUNTY JAIL,2015,3
2015,COOK COUNTY JAIL,CHICAGO,ILLINOIS,4,COOK COUNTY JAIL,2015,1
2015,CORRIGAN CORR INST,UNCASVILLE,CONNECTICUT,1,CORRIGAN CORR INST,2015,2
2015,CSP-SAN QUENTIN,SAN QUENTIN,CALIFORNIA,1,CSP-SAN QUENTIN,2015,4
2015,CUMBERLAND COUNTY JAIL,BRIDGETON,NEW JERSEY,1,CUMBERLAND COUNTY JAIL,2015,4
2015,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,2,CURRAN FROMHOLD CORR.FAC.,2015,2
2015,DADE COUNTY CORRECTIONAL,MIAMI,FLORIDA,29,DADE COUNTY CORRECTIONAL,2015,10
2015,"DAKOTA CO. JAIL, MN",HASTINGS,MINNESOTA,2,"DAKOTA CO. JAIL, MN",2015,7
2015,"DAUPHIN CNTY JAIL, PA",HARRISBURG,PENNSYLVANIA,2,"DAUPHIN CNTY JAIL, PA",2015,1
2015,DAVIDSON CO. SHERIFF DEPT,NASHVILLE,TENNESSEE,1,DAVIDSON CO. SHERIFF DEPT,2015,61
2015,DENVER COUNTY JAIL,DENVER,COLORADO,3,DENVER COUNTY JAIL,2015,1
2015,DENVER JUSTICE CENTER,DENVER,COLORADO,95,DENVER JUSTICE CENTER,2015,19
2015,DESOTO COUNTY JAIL,ARCADIA,FLORIDA,1,DESOTO COUNTY JAIL,2015,22
2015,DOUGLAS COUNTY DETENTION CENTER,CASTLE ROCK,COLORADO,2,DOUGLAS COUNTY DETENTION CENTER,2015,2
2015,DOUGLAS COUNTY SHERIFF,DOUGLASVILLE,GEORGIA,1,DOUGLAS COUNTY SHERIFF,2015,5
2015,EAGLE COUNTY JAIL,EAGLE,COLORADO,4,EAGLE COUNTY JAIL,2015,4
2015,EL PASO COUNTY JAIL (CO),COLORADO SPRINGS,COLORADO,9,EL PASO COUNTY JAIL (CO),2015,22
2015,F.C.I. HERLONG,HERLONG,CALIFORNIA,2,F.C.I. HERLONG,2015,3
2015,FORREST COUNTY A.D.C.,HATTIESBURG,MISSISSIPPI,1,FORREST COUNTY A.D.C.,2015,11
2015,FRANKLIN COUNTY JAIL,COLUMBUS,OHIO,32,FRANKLIN COUNTY JAIL,2015,14
