date,lift_reason,det_facility,city,state,detainer_type
2007-10-02 00:00:00,Alien Not Subject to Deportation,CLAREMONT CUSTODY CENTER,COALINGA,CALIFORNIA,
2007-10-08 00:00:00,Alien Not Subject to Deportation,TDC - PAM LYCHNER,HUMBLE,TEXAS,
2007-10-11 00:00:00,Alien Not Subject to Deportation,SACRAMENTO COUNTY JAIL,SACRAMENTO,CALIFORNIA,
2007-10-11 00:00:00,Alien Not Subject to Deportation,FL DEPT OF CORRECTIONS,TALLAHASSEE,FLORIDA,
2007-10-11 00:00:00,Alien Not Subject to Deportation,LOS ANGELES COUNTY JAIL-TWIN TOWER,LOS ANGELES,CALIFORNIA,
2007-10-18 00:00:00,Alien Not Subject to Deportation,FL DEPT OF CORRECTIONS,TALLAHASSEE,FLORIDA,
2007-10-22 00:00:00,Alien Not Subject to Deportation,NASSAU CO CORREC CENTER,EAST MEADOW,NEW YORK,
2007-10-23 00:00:00,Alien Not Subject to Deportation,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,
2007-10-23 00:00:00,Alien Not Subject to Deportation,FL DEPT OF CORRECTIONS,TALLAHASSEE,FLORIDA,
2007-10-25 00:00:00,Alien Not Subject to Deportation,RJ DONOVAN CORREC FAC,SAN DIEGO,CALIFORNIA,
2007-10-26 00:00:00,Alien Not Subject to Deportation,"RIKERS ISLAND, QUEENS, NY",ELMHURST,NEW YORK,
2007-10-30 00:00:00,Alien Not Subject to Deportation,HARRIS COUNTY JAIL,HOUSTON,TEXAS,
2007-10-31 00:00:00,Alien Not Subject to Deportation,HARRIS COUNTY JAIL,HOUSTON,TEXAS,
2007-11-01 00:00:00,Alien Not Subject to Deportation,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,
2007-11-01 00:00:00,Alien Not Subject to Deportation,SCI SOMERSET,SOMERSET,PENNSYLVANIA,
2007-11-01 00:00:00,Alien Not Subject to Deportation,MIDDLESEX COUNTY H.O.C.-BILLERICA,BILLERICA,MASSACHUSETTS,
2007-11-06 00:00:00,Alien Not Subject to Deportation,GREENE C.F. COXSACKLE,COXSACKIE,NEW YORK,
2007-11-06 00:00:00,Alien Not Subject to Deportation,GREENE C.F. COXSACKLE,COXSACKIE,NEW YORK,
2007-11-07 00:00:00,Alien Not Subject to Deportation,OTHER-OTHER FACILITY,,,
2007-11-07 00:00:00,Alien Not Subject to Deportation,NO. KERN STATE PRISON,DELANO,CALIFORNIA,
2007-11-09 00:00:00,Alien Not Subject to Deportation,FL DEPT OF CORRECTIONS,TALLAHASSEE,FLORIDA,
