city,state,count
,,87
ELMHURST,NEW YORK,79
PHOENIX,ARIZONA,76
SAN ANTONIO,TEXAS,57
CRANSTON,RHODE ISLAND,39
ORLANDO,FLORIDA,38
TALLAHASSEE,FLORIDA,33
PHILIPSBURG,PENNSYLVANIA,29
HUNTSVILLE,TEXAS,28
MIAMI,FLORIDA,27
LOS ANGELES,CALIFORNIA,23
HOUSTON,TEXAS,21
FAIRFAX,VIRGINIA,19
SAN DIEGO,CALIFORNIA,18
MALONE,NEW YORK,15
PORTLAND,OREGON,14
SACRAMENTO,CALIFORNIA,14
YUMA,ARIZONA,14
BOISE,IDAHO,13
TUCSON,ARIZONA,13
FORT LAUDERDALE,FLORIDA,12
CAMP HILL,PENNSYLVANIA,11
DUBLIN,CALIFORNIA,11
OCALA,FLORIDA,11
NEW YORK,NEW YORK,11
CALIPATRIA,CALIFORNIA,11
LAS VEGAS,NEVADA,10
SANTA ANA,CALIFORNIA,10
SALT LAKE CITY,UTAH,10
RIVERSIDE,CALIFORNIA,10
DELANO,CALIFORNIA,9
NAPANOCH,NEW YORK,9
RALEIGH,NORTH CAROLINA,9
EAST MEADOW,NEW YORK,9
FISHKILL,NEW YORK,8
MANASSAS,VIRGINIA,8
WHITE DEER,PENNSYLVANIA,8
HONOLULU,HAWAII,8
ALBUQUERQUE,NEW MEXICO,8
FRESNO,CALIFORNIA,8
BROOKLYN,NEW YORK,8
TULSA,OKLAHOMA,8
ROCKVILLE,MARYLAND,8
MINNEAPOLIS,MINNESOTA,7
WILLARD,NEW YORK,7
WASCO,CALIFORNIA,7
WEST PALM BEACH,FLORIDA,7
TAMPA,FLORIDA,7
KEARNEY,NEW JERSEY,7
YOUNGSTOWN,OHIO,7
SHELBYVILLE,KENTUCKY,7
HILLSBORO,OREGON,7
WASHINGTON,DISTRICT OF COLUMBIA,7
VISTA,CALIFORNIA,7
OGDESNBURG,NEW YORK,7
KISSIMMEE,FLORIDA,6
WINTON,NORTH CAROLINA,6
LAWRENCEVILLE,GEORGIA,6
MONROE,NORTH CAROLINA,6
BROCKTON,NEW YORK,6
LAND O'LAKES,FLORIDA,6
GOUVERNEUR,NEW YORK,6
PHILADELPHIA,PENNSYLVANIA,6
BOSTON,MASSACHUSETTS,6
NASHVILLE,TENNESSEE,6
MODESTO,CALIFORNIA,6
VALHALLA,NEW YORK,6
SAN BERNARDINO,CALIFORNIA,6
RIVERHEAD,NEW YORK,6
EDEN,TEXAS,6
MCRAE,GEORGIA,6
SAN RAFAEL,CALIFORNIA,5
PECOS,TEXAS,5
FOLKSTON,GEORGIA,5
CLEARWATER,FLORIDA,5
NATCHEZ,MISSISSIPPI,5
CHOWCHILLA,CALIFORNIA,5
ARLINGTON,VIRGINIA,5
SANTEE,CALIFORNIA,5
COXSACKIE,NEW YORK,5
DALLAS,TEXAS,5
FREDERICK,MARYLAND,5
COLORADO SPRINGS,COLORADO,5
CALDWELL,IDAHO,4
TOWSON,MARYLAND,4
REDDING,CALIFORNIA,4
FOLSOM,CALIFORNIA,4
CARSON CITY,NEVADA,4
RENO,NEVADA,4
SHELTON,WASHINGTON,4
RANCHO CUCAMONGA,CALIFORNIA,4
TEHACHAPI,CALIFORNIA,4
ALEXANDRIA,VIRGINIA,4
AUSTIN,TEXAS,4
LAREDO,TEXAS,4
FREDERICKSBURG,VIRGINIA,4
CALIFORNIA CITY,CALIFORNIA,4
JESSUP,MARYLAND,4
GREENVILLE,SOUTH CAROLINA,4
FORT WORTH,TEXAS,4
OKLAHOMA CITY,OKLAHOMA,4
YORK,PENNSYLVANIA,4
NEW BRAUNFELS,TEXAS,4
VACAVILLE,CALIFORNIA,4
EDINBURG,TEXAS,4
JOURDANTON,TEXAS,3
KEW GARDENS,NEW YORK,3
BAKERSFIELD,CALIFORNIA,3
LOMPOC,CALIFORNIA,3
CONROE,TEXAS,3
HERNANDO,MISSISSIPPI,3
WATERTOWN,NEW YORK,3
TAFT,CALIFORNIA,3
OLMITO,TEXAS,3
LINCOLN,NEBRASKA,3
CEDAR RAPIDS,IOWA,3
OAKDALE,IOWA,3
WACO,TEXAS,3
THORNTON,PENNSYLVANIA,3
ALBION,NEW YORK,3
COLUMBUS,OHIO,3
VANCOUVER,WASHINGTON,3
SAN JOSE,CALIFORNIA,3
RICHMOND,CALIFORNIA,3
GOODYEAR,ARIZONA,3
WRAY,COLORADO,3
REDWOOD CITY,CALIFORNIA,3
NAPLES,FLORIDA,3
BRONX,NEW YORK,3
DANBURY,CONNECTICUT,3
BRUNSWICK,GEORGIA,3
ODESSA,TEXAS,3
JACKSON,MICHIGAN,3
TOMS RIVER,NEW JERSEY,3
AIEA,HAWAII,3
SAN LUIS OBISPO,CALIFORNIA,3
PUNTA GORDA,FLORIDA,3
WOODSTOCK,ILLINOIS,3
BRIGHTON,COLORADO,3
FLORENCE,ARIZONA,3
HUMBLE,TEXAS,3
UPPER MARLBORO,MARYLAND,3
TRACY,CALIFORNIA,3
SALINAS,CALIFORNIA,3
KANSAS CITY,MISSOURI,3
WOODLAND,CALIFORNIA,3
CALDWELL,NEW JERSEY,3
KENNEWICK,WASHINGTON,3
SANTA BARBARA,CALIFORNIA,3
ATTICA,NEW YORK,3
SEGUIN,TEXAS,3
BAYAMON,PUERTO RICO,3
QUEENS,NEW YORK,3
DECATUR,GEORGIA,3
DES MOINES,IOWA,3
COMSTOCK,NEW YORK,3
BUTNER,NORTH CAROLINA,3
ATLANTA,GEORGIA,3
ROCHESTER,NEW YORK,3
AMARILLO,TEXAS,3
MURRIETA,CALIFORNIA,3
DAYTON,TEXAS,2
ORIENT,OHIO,2
CRESSON,PENNSYLVANIA,2
JOLIET,ILLINOIS,2
DELMONT,NEW JERSEY,2
GOLDEN,COLORADO,2
TRENTON,NEW JERSEY,2
BELINGTON,WEST VIRGINIA,2
WILKESBARRE,PENNSYLVANIA,2
BEAUMONT,TEXAS,2
LOGAN,UTAH,2
CHESTERFIELD,VIRGINIA,2
FRENCH CAMP,CALIFORNIA,2
OAKDALE,LOUISIANA,2
SOMERSET,KENTUCKY,2
LANCASTER,PENNSYLVANIA,2
FLORIDA CITY,FLORIDA,2
HURRICANE,UTAH,2
WINCHESTER,VIRGINIA,2
EL PASO,TEXAS,2
GREENSBORO,NORTH CAROLINA,2
PENSACOLA,FLORIDA,2
SAN FRANCISCO,CALIFORNIA,2
LEXINGTON,KENTUCKY,2
PARKER,ARIZONA,2
POLLOCK,LOUISIANA,2
ERIE,PENNSYLVANIA,2
AZTEC,NEW MEXICO,2
KINGMAN,ARIZONA,2
CRAWFORDVILLE,FLORIDA,2
GRAND RAPIDS,MICHIGAN,2
BURLEY,IDAHO,2
LEESBURG,NEW JERSEY,2
MARCY,NEW YORK,2
CASCADE,IDAHO,2
ALICEVILLE,ALABAMA,2
SEWARD,ALASKA,2
CALDWELL,OHIO,2
BRIDGETON,NEW JERSEY,2
MINERSVILLE,PENNSYLVANIA,2
LEXINGTON,OKLAHOMA,2
POST,TEXAS,2
ST. CHARLES,MISSOURI,2
WASECA,MINNESOTA,2
FARIBAULT,MINNESOTA,2
MONTICELLO,NEW YORK,2
NORTH CHARLESTO,SOUTH CAROLINA,2
MURPHY,IDAHO,2
VERO BEACH,FLORIDA,2
TAVARES,FLORIDA,2
NORFOLK,VIRGINIA,2
BROWNSVILLE,TEXAS,2
RED BLUFF,CALIFORNIA,2
AUBURN,CALIFORNIA,2
FREEHOLD,NEW JERSEY,2
SHIRLEY,MASSACHUSETTS,2
CONCORD,MASSACHUSETTS,2
CONNELL,WASHINGTON,2
MORRISTOWN,NEW JERSEY,2
CONCORD,NEW HAMPSHIRE,2
BRUCETON MILLS,WEST VIRGINIA,2
OREGON CITY,OREGON,2
COLEMAN,FLORIDA,2
GREENVILLE,NORTH CAROLINA,2
EFFINGHAM,ILLINOIS,2
PAULS VALLEY,OKLAHOMA,2
COLUSA,CALIFORNIA,2
INDIANTOWN,FLORIDA,2
AURORA,COLORADO,2
ANNAPOLIS,MARYLAND,2
OGDENSBURG,NEW YORK,2
BIG SPRING,TEXAS,2
MARIETTA,GEORGIA,2
BEACON,NEW YORK,2
GOODING,IDAHO,2
FORT MYERS,FLORIDA,2
TRENTON,FLORIDA,2
PATERSON,NEW JERSEY,2
DENTON,TEXAS,2
CHICAGO,ILLINOIS,2
MANCHESTER,NEW HAMPSHIRE,2
GRAND JUNCTION,COLORADO,2
IMPERIAL,CALIFORNIA,2
SIOUX FALLS,SOUTH DAKOTA,2
CORCORAN,CALIFORNIA,2
PAINESVILLE,OHIO,2
ROME,NEW YORK,2
SAN JUAN,PUERTO RICO,2
BEL AIR,MARYLAND,2
SOLEDAD,CALIFORNIA,2
MURFREESBORO,TENNESSEE,2
LODI,CALIFORNIA,2
HERLONG,CALIFORNIA,2
PALMER,ALASKA,1
ANOKA,MINNESOTA,1
WATERLOO,IOWA,1
SARASOTA,FLORIDA,1
IGNACIO,COLORADO,1
FARGO,NORTH DAKOTA,1
LEXINGTON,SOUTH CAROLINA,1
JONESBORO,GEORGIA,1
COMMANCHE,TEXAS,1
IONIA,MICHIGAN,1
DUBLIN,GEORGIA,1
MEDFORD,OREGON,1
ORANGE,VIRGINIA,1
DRAPER,UTAH,1
MAYS LANDING,NEW JERSEY,1
HATTIESBURG,MISSISSIPPI,1
GALVESTON,TEXAS,1
REPRESA,CALIFORNIA,1
WEST COVINA,CALIFORNIA,1
FRAMINGHAM,MASSACHUSETTS,1
BELLEFONTE,PENNSYLVANIA,1
NEWPORT NEWS,VIRGINIA,1
ST. CLOUD,MINNESOTA,1
WATERBURY,VERMONT,1
BROOKSVILLS,FLORIDA,1
SPRINGFIELD,SOUTH DAKOTA,1
HANFORD,CALIFORNIA,1
ROSWELL,NEW MEXICO,1
Fairton,NEW JERSEY,1
RAYBROOK,NEW YORK,1
EL DORADO,KANSAS,1
WEST CHESTER,PENNSYLVANIA,1
HENDERSON,NEVADA,1
BLACK HAWK,COLORADO,1
YUBA,CALIFORNIA,1
BOWLING GREEN,MISSOURI,1
SAVANNAH,GEORGIA,1
HUTCHINSON,KANSAS,1
SMITHSFIELD,NORTH CAROLINA,1
GRAHAM,NORTH CAROLINA,1
BATAVIA,NEW YORK,1
SPENCER,INDIANA,1
DALLAS,PENNSYLVANIA,1
PASCO,WASHINGTON,1
EAST MILLSBORO,PENNSYLVANIA,1
FORT PIERCE,FLORIDA,1
DOUGLASVILLE,GEORGIA,1
HACKENSACK,NEW JERSEY,1
GREENCOVE SPRING,FLORIDA,1
BEEVILLE,TEXAS,1
GLENVILLE,WEST VIRGINIA,1
LUBBOCK,TEXAS,1
SHERIDAN,OREGON,1
UKIAH,CALIFORNIA,1
SPANISH FORK,UTAH,1
OLATHE,KANSAS,1
FORSYTH,MISSOURI,1
OPELIKA,ALABAMA,1
VALE,OREGON,1
WENATCHEE,WASHINGTON,1
GRATERFORD,PENNSYLVANIA,1
CASTLE ROCK,COLORADO,1
STATESVILLE,NORTH CAROLINA,1
IOWA CITY,IOWA,1
BENTONVILLE,ARKANSAS,1
ELMORE,ALABAMA,1
PLAINFIELD,INDIANA,1
WAYMART,PENNSYLVANIA,1
LOVINGTON,NEW MEXICO,1
ARECIBO,PUERTO RICO,1
WASHINGTON CRTHS,OHIO,1
WORTHINGTON,MINNESOTA,1
LACONIA,NEW HAMPSHIRE,1
VICTORVILLE,CALIFORNIA,1
MCMINNVILLE,OREGON,1
FORT DIX,NEW JERSEY,1
NORCO,CALIFORNIA,1
MILPITAS,CALIFORNIA,1
LITTLEFIELD,TEXAS,1
CASPER,WYOMING,1
MADERA,CALIFORNIA,1
BOULDER,COLORADO,1
ALLENTOWN,PENNSYLVANIA,1
LUMBERTON,NORTH CAROLINA,1
COLUMBIA,SOUTH CAROLINA,1
GOSHEN,NEW YORK,1
DODGE CITY,KANSAS,1
NEW BEDFORD,MASSACHUSETTS,1
ROSWELL,GEORGIA,1
ANAMOSA,IOWA,1
KINGSTON,MISSOURI,1
AKRON,COLORADO,1
EAST ST. LOUIS,ILLINOIS,1
VENTURA,CALIFORNIA,1
CONYERS,GEORGIA,1
ALBANY,NEW YORK,1
ELIZABETHTOWN,NEW YORK,1
HOLBROOK,ARIZONA,1
RICHMOND,VIRGINIA,1
PLATTSMOUTH,NEBRASKA,1
BLOUNTSTOWN,FLORIDA,1
LA HABRA,CALIFORNIA,1
GRADY,ARKANSAS,1
GILLETTE,WYOMING,1
CAMERON,MISSOURI,1
CAMBRIDGE,MINNESOTA,1
BRISTOL,VIRGINIA,1
GOWANDA,NEW YORK,1
RIO GRANDE CITY,TEXAS,1
LARAMIE,WYOMING,1
SANTA FE,NEW MEXICO,1
LONGVIEW,WASHINGTON,1
BARTOW,FLORIDA,1
MOULTRIE,GEORGIA,1
WRIGHTSTOWN,NEW JERSEY,1
ABILENE,TEXAS,1
CENTENNIAL,COLORADO,1
NORTH BRUNSWICK,NEW JERSEY,1
MIDDLETON,MASSACHUSETTS,1
KERRVILLE,TEXAS,1
ELK GROVE,CALIFORNIA,1
CAPE VINCENT,NEW YORK,1
WAUKEGAN,ILLINOIS,1
DENVER,COLORADO,1
SANTA ROSA,CALIFORNIA,1
NEWARK,NEW JERSEY,1
JESUP,GEORGIA,1
MERCER,PENNSYLVANIA,1
RAYMONDVILLE,TEXAS,1
BRIGHAM,UTAH,1
NORTH DARTMOUTH,MASSACHUSETTS,1
FORSYTH,GEORGIA,1
AUGUSTA,MAINE,1
PALMETTO,FLORIDA,1
PURVIS,MISSISSIPPI,1
BELTON,TEXAS,1
LONG BEACH,CALIFORNIA,1
LOUDON,TENNESSEE,1
FAYETTEVILLE,NORTH CAROLINA,1
GREELEY,COLORADO,1
INDIAN SPRINGS,NEVADA,1
ST THOMAS,VIRGIN ISLANDS,1
MOOSE LAKE,MINNESOTA,1
BUSHNELL,FLORIDA,1
