state,count
CALIFORNIA,262
NEW YORK,234
TEXAS,204
FLORIDA,190
ARIZONA,119
,87
PENNSYLVANIA,86
VIRGINIA,54
RHODE ISLAND,39
GEORGIA,39
NORTH CAROLINA,38
NEW JERSEY,36
MARYLAND,30
IDAHO,30
OREGON,28
COLORADO,28
OHIO,22
NEVADA,21
UTAH,19
WASHINGTON,18
OKLAHOMA,18
MINNESOTA,18
MASSACHUSETTS,16
TENNESSEE,15
IOWA,15
NEW MEXICO,14
KENTUCKY,14
ILLINOIS,13
MISSOURI,12
MISSISSIPPI,12
MICHIGAN,11
HAWAII,11
SOUTH CAROLINA,11
LOUISIANA,7
DISTRICT OF COLUMBIA,7
NEW HAMPSHIRE,7
KANSAS,6
WEST VIRGINIA,6
PUERTO RICO,6
NEBRASKA,6
INDIANA,4
SOUTH DAKOTA,4
CONNECTICUT,4
ALABAMA,4
WYOMING,4
ARKANSAS,3
ALASKA,3
MAINE,2
GUAM,2
VERMONT,2
WISCONSIN,2
DELAWARE,1
NORTH DAKOTA,1
VIRGIN ISLANDS,1
