det_facility,year,lift_reason,count
ADAMS COUNTY,2014,Booked into Detention,6
ADAMS COUNTY,2013,Booked into Detention,17
ADAMS COUNTY,2012,Booked into Detention,21
ADAMS COUNTY,2011,Booked into Detention,22
ADAMS COUNTY,2010,Booked into Detention,10
ADAMS COUNTY,2009,Booked into Detention,17
ADAMS COUNTY,2008,Booked into Detention,21
ADAMS COUNTY,2007,Booked into Detention,1
ADAMS COUNTY,2012,Case Closed,1
ADAMS COUNTY,2010,Case Closed,1
ADAMS COUNTY,2008,Case Closed,10
ADAMS COUNTY,2007,Case Closed,1
ADAMS COUNTY,2010,Lifted,1
ADAMS COUNTY,2009,Lifted,6
ADAMS COUNTY,2008,Lifted,7
ADAMS COUNTY,2007,Lifted,1
ADAMS COUNTY,2015,Transferred,1
ADAMS COUNTY,2014,,7
ADAMS COUNTY,2013,,8
ADAMS COUNTY,2012,,5
ADAMS COUNTY,2011,,9
ADAMS COUNTY,2010,,23
ADAMS COUNTY,2009,,16
ADAMS COUNTY,2008,,13
