det_facility,year,lift_reason,count
ARIZONA STATE PRISON COMP,2014,Booked into Detention,2
ARIZONA STATE PRISON COMP,2013,Booked into Detention,8
ARIZONA STATE PRISON COMP,2012,Booked into Detention,6
ARIZONA STATE PRISON COMP,2011,Booked into Detention,9
ARIZONA STATE PRISON COMP,2010,Booked into Detention,6
ARIZONA STATE PRISON COMP,2009,Booked into Detention,5
ARIZONA STATE PRISON COMP,2008,Booked into Detention,3
ARIZONA STATE PRISON COMP,2007,Booked into Detention,1
ARIZONA STATE PRISON COMP,2014,Case Closed,2
ARIZONA STATE PRISON COMP,2013,Case Closed,1
ARIZONA STATE PRISON COMP,2010,Case Closed,1
ARIZONA STATE PRISON COMP,2009,Case Closed,1
ARIZONA STATE PRISON COMP,2008,Case Closed,2
ARIZONA STATE PRISON COMP,2014,Lifted,1
ARIZONA STATE PRISON COMP,2013,Lifted,2
ARIZONA STATE PRISON COMP,2012,Lifted,1
ARIZONA STATE PRISON COMP,2009,Lifted,2
ARIZONA STATE PRISON COMP,2008,Lifted,3
ARIZONA STATE PRISON COMP,2010,Transferred,1
ARIZONA STATE PRISON COMP,2008,United States Citizen Interviewed,1
ARIZONA STATE PRISON COMP,2015,,3
ARIZONA STATE PRISON COMP,2014,,9
ARIZONA STATE PRISON COMP,2013,,6
ARIZONA STATE PRISON COMP,2012,,6
ARIZONA STATE PRISON COMP,2011,,4
ARIZONA STATE PRISON COMP,2010,,3
ARIZONA STATE PRISON COMP,2009,,4
ARIZONA STATE PRISON COMP,2008,,3
