det_facility,year,lift_reason,count
LEA COUNTY JAIL,2008,Alien Not Subject to Deportation,1
LEA COUNTY JAIL,2014,Booked into Detention,3
LEA COUNTY JAIL,2013,Booked into Detention,8
LEA COUNTY JAIL,2012,Booked into Detention,21
LEA COUNTY JAIL,2011,Booked into Detention,5
LEA COUNTY JAIL,2010,Booked into Detention,10
LEA COUNTY JAIL,2009,Booked into Detention,4
LEA COUNTY JAIL,2008,Booked into Detention,16
LEA COUNTY JAIL,2013,Case Closed,2
LEA COUNTY JAIL,2012,Case Closed,4
LEA COUNTY JAIL,2011,Case Closed,7
LEA COUNTY JAIL,2010,Case Closed,33
LEA COUNTY JAIL,2009,Case Closed,15
LEA COUNTY JAIL,2008,Case Closed,64
LEA COUNTY JAIL,2007,Case Closed,12
LEA COUNTY JAIL,2015,Detainer Declined by LEA,3
LEA COUNTY JAIL,2014,Detainer Declined by LEA,4
LEA COUNTY JAIL,2008,Early Release,1
LEA COUNTY JAIL,2013,Lifted,18
LEA COUNTY JAIL,2012,Lifted,27
LEA COUNTY JAIL,2011,Lifted,33
LEA COUNTY JAIL,2010,Lifted,22
LEA COUNTY JAIL,2009,Lifted,7
LEA COUNTY JAIL,2008,Lifted,39
LEA COUNTY JAIL,2007,Lifted,3
LEA COUNTY JAIL,2013,Transferred,1
LEA COUNTY JAIL,2011,Transferred,1
LEA COUNTY JAIL,2009,Transferred,1
LEA COUNTY JAIL,2008,Transferred,3
LEA COUNTY JAIL,2015,,3
LEA COUNTY JAIL,2014,,19
LEA COUNTY JAIL,2013,,30
LEA COUNTY JAIL,2012,,19
LEA COUNTY JAIL,2011,,17
LEA COUNTY JAIL,2010,,14
LEA COUNTY JAIL,2009,,9
LEA COUNTY JAIL,2008,,10
