det_facility,year,lift_reason,count
LEAVENWORTH USP,2015,Booked into Detention,2
LEAVENWORTH USP,2014,Booked into Detention,17
LEAVENWORTH USP,2013,Booked into Detention,8
LEAVENWORTH USP,2012,Booked into Detention,23
LEAVENWORTH USP,2011,Booked into Detention,12
LEAVENWORTH USP,2010,Booked into Detention,76
LEAVENWORTH USP,2009,Booked into Detention,16
LEAVENWORTH USP,2008,Booked into Detention,22
LEAVENWORTH USP,2007,Booked into Detention,6
LEAVENWORTH USP,2010,Case Closed,6
LEAVENWORTH USP,2008,Case Closed,2
LEAVENWORTH USP,2014,Lifted,1
LEAVENWORTH USP,2013,Lifted,3
LEAVENWORTH USP,2010,Lifted,9
LEAVENWORTH USP,2009,Lifted,1
LEAVENWORTH USP,2008,Lifted,3
LEAVENWORTH USP,2010,Transferred,1
LEAVENWORTH USP,2009,Transferred,1
LEAVENWORTH USP,2008,Transferred,1
LEAVENWORTH USP,2008,United States Citizen Interviewed,1
LEAVENWORTH USP,2015,,6
LEAVENWORTH USP,2014,,16
LEAVENWORTH USP,2013,,12
LEAVENWORTH USP,2012,,25
LEAVENWORTH USP,2011,,22
LEAVENWORTH USP,2010,,77
LEAVENWORTH USP,2009,,3
LEAVENWORTH USP,2008,,21
LEAVENWORTH USP,2007,,12
