det_facility,year,lift_reason,count
MARION COUNTY JAIL,2015,Alien Not Subject to Deportation,1
MARION COUNTY JAIL,2014,Alien Not Subject to Deportation,5
MARION COUNTY JAIL,2013,Alien Not Subject to Deportation,3
MARION COUNTY JAIL,2011,Alien Not Subject to Deportation,1
MARION COUNTY JAIL,2010,Alien Not Subject to Deportation,1
MARION COUNTY JAIL,2015,Booked into Detention,3
MARION COUNTY JAIL,2014,Booked into Detention,83
MARION COUNTY JAIL,2013,Booked into Detention,119
MARION COUNTY JAIL,2012,Booked into Detention,177
MARION COUNTY JAIL,2011,Booked into Detention,383
MARION COUNTY JAIL,2010,Booked into Detention,607
MARION COUNTY JAIL,2009,Booked into Detention,332
MARION COUNTY JAIL,2008,Booked into Detention,217
MARION COUNTY JAIL,2007,Booked into Detention,112
MARION COUNTY JAIL,2013,Case Closed,4
MARION COUNTY JAIL,2012,Case Closed,6
MARION COUNTY JAIL,2011,Case Closed,6
MARION COUNTY JAIL,2010,Case Closed,12
MARION COUNTY JAIL,2009,Case Closed,4
MARION COUNTY JAIL,2008,Case Closed,52
MARION COUNTY JAIL,2007,Case Closed,1
MARION COUNTY JAIL,2014,Detainer Declined by LEA,4
MARION COUNTY JAIL,2011,Died,1
MARION COUNTY JAIL,2008,Died,1
MARION COUNTY JAIL,2014,Early Release,3
MARION COUNTY JAIL,2013,Early Release,2
MARION COUNTY JAIL,2012,Early Release,4
MARION COUNTY JAIL,2011,Early Release,2
MARION COUNTY JAIL,2009,Early Release,8
MARION COUNTY JAIL,2008,Early Release,5
MARION COUNTY JAIL,2007,Early Release,11
MARION COUNTY JAIL,2015,Lifted,5
MARION COUNTY JAIL,2014,Lifted,15
MARION COUNTY JAIL,2013,Lifted,33
MARION COUNTY JAIL,2012,Lifted,20
MARION COUNTY JAIL,2011,Lifted,56
MARION COUNTY JAIL,2010,Lifted,88
MARION COUNTY JAIL,2009,Lifted,72
MARION COUNTY JAIL,2008,Lifted,42
MARION COUNTY JAIL,2007,Lifted,9
MARION COUNTY JAIL,2013,Lifted - Lack of Funds,4
MARION COUNTY JAIL,2012,Lifted - Lack of Funds,1
MARION COUNTY JAIL,2009,Lifted - Lack of Funds,4
MARION COUNTY JAIL,2008,Lifted - Lack of Funds,2
MARION COUNTY JAIL,2007,Lifted - Lack of Funds,1
MARION COUNTY JAIL,2013,Lifted - Lack of Space,11
MARION COUNTY JAIL,2012,Lifted - Lack of Space,2
MARION COUNTY JAIL,2015,Prosecutorial Discretion,1
MARION COUNTY JAIL,2014,Prosecutorial Discretion,1
MARION COUNTY JAIL,2013,Prosecutorial Discretion,6
MARION COUNTY JAIL,2011,Prosecutorial Discretion,2
MARION COUNTY JAIL,2012,Transferred,1
MARION COUNTY JAIL,2011,Transferred,7
MARION COUNTY JAIL,2010,Transferred,7
MARION COUNTY JAIL,2009,Transferred,16
MARION COUNTY JAIL,2008,Transferred,14
MARION COUNTY JAIL,2007,Transferred,5
MARION COUNTY JAIL,2009,United States Citizen Interviewed,2
MARION COUNTY JAIL,2015,,20
MARION COUNTY JAIL,2014,,77
MARION COUNTY JAIL,2013,,430
MARION COUNTY JAIL,2012,,1088
MARION COUNTY JAIL,2011,,1431
MARION COUNTY JAIL,2010,,478
MARION COUNTY JAIL,2009,,180
MARION COUNTY JAIL,2008,,50
MARION COUNTY JAIL,2007,,1
