det_facility,year,lift_reason,count
MARION USP,2014,Booked into Detention,1
MARION USP,2013,Booked into Detention,6
MARION USP,2012,Booked into Detention,2
MARION USP,2011,Booked into Detention,16
MARION USP,2010,Booked into Detention,40
MARION USP,2009,Booked into Detention,21
MARION USP,2008,Booked into Detention,10
MARION USP,2007,Booked into Detention,1
MARION USP,2010,Case Closed,4
MARION USP,2009,Case Closed,2
MARION USP,2008,Case Closed,1
MARION USP,2010,Died,1
MARION USP,2011,Early Release,1
MARION USP,2010,Early Release,2
MARION USP,2009,Early Release,1
MARION USP,2013,Lifted,1
MARION USP,2011,Lifted,4
MARION USP,2010,Lifted,10
MARION USP,2009,Lifted,2
MARION USP,2015,,3
MARION USP,2014,,3
MARION USP,2013,,2
MARION USP,2012,,1
MARION USP,2011,,7
MARION USP,2010,,26
MARION USP,2009,,8
MARION USP,2008,,6
