det_facility,year,lift_reason,count
"MCRAE CORRECTIONAL FACILITY, CCA",2014,Alien Not Subject to Deportation,1
"MCRAE CORRECTIONAL FACILITY, CCA",2013,Alien Not Subject to Deportation,1
"MCRAE CORRECTIONAL FACILITY, CCA",2010,Alien Not Subject to Deportation,3
"MCRAE CORRECTIONAL FACILITY, CCA",2009,Alien Not Subject to Deportation,1
"MCRAE CORRECTIONAL FACILITY, CCA",2015,Booked into Detention,49
"MCRAE CORRECTIONAL FACILITY, CCA",2014,Booked into Detention,73
"MCRAE CORRECTIONAL FACILITY, CCA",2013,Booked into Detention,298
"MCRAE CORRECTIONAL FACILITY, CCA",2012,Booked into Detention,125
"MCRAE CORRECTIONAL FACILITY, CCA",2011,Booked into Detention,902
"MCRAE CORRECTIONAL FACILITY, CCA",2010,Booked into Detention,1036
"MCRAE CORRECTIONAL FACILITY, CCA",2009,Booked into Detention,443
"MCRAE CORRECTIONAL FACILITY, CCA",2008,Booked into Detention,254
"MCRAE CORRECTIONAL FACILITY, CCA",2007,Booked into Detention,46
"MCRAE CORRECTIONAL FACILITY, CCA",2015,Case Closed,1
"MCRAE CORRECTIONAL FACILITY, CCA",2013,Case Closed,2
"MCRAE CORRECTIONAL FACILITY, CCA",2012,Case Closed,2
"MCRAE CORRECTIONAL FACILITY, CCA",2011,Case Closed,8
"MCRAE CORRECTIONAL FACILITY, CCA",2010,Case Closed,11
"MCRAE CORRECTIONAL FACILITY, CCA",2009,Case Closed,3
"MCRAE CORRECTIONAL FACILITY, CCA",2008,Case Closed,17
"MCRAE CORRECTIONAL FACILITY, CCA",2007,Case Closed,12
"MCRAE CORRECTIONAL FACILITY, CCA",2015,Detainer Declined by LEA,2
"MCRAE CORRECTIONAL FACILITY, CCA",2014,Detainer Declined by LEA,1
"MCRAE CORRECTIONAL FACILITY, CCA",2011,Detainer Declined by LEA,3
"MCRAE CORRECTIONAL FACILITY, CCA",2010,Detainer Declined by LEA,1
"MCRAE CORRECTIONAL FACILITY, CCA",2009,Detainer Declined by LEA,1
"MCRAE CORRECTIONAL FACILITY, CCA",2014,Early Release,1
"MCRAE CORRECTIONAL FACILITY, CCA",2010,Early Release,2
"MCRAE CORRECTIONAL FACILITY, CCA",2009,Early Release,1
"MCRAE CORRECTIONAL FACILITY, CCA",2008,Early Release,1
"MCRAE CORRECTIONAL FACILITY, CCA",2015,Lifted,1
"MCRAE CORRECTIONAL FACILITY, CCA",2014,Lifted,2
"MCRAE CORRECTIONAL FACILITY, CCA",2013,Lifted,17
"MCRAE CORRECTIONAL FACILITY, CCA",2012,Lifted,7
"MCRAE CORRECTIONAL FACILITY, CCA",2011,Lifted,28
"MCRAE CORRECTIONAL FACILITY, CCA",2010,Lifted,32
"MCRAE CORRECTIONAL FACILITY, CCA",2009,Lifted,21
"MCRAE CORRECTIONAL FACILITY, CCA",2008,Lifted,35
"MCRAE CORRECTIONAL FACILITY, CCA",2007,Lifted,5
"MCRAE CORRECTIONAL FACILITY, CCA",2015,Transferred,1
"MCRAE CORRECTIONAL FACILITY, CCA",2013,Transferred,1
"MCRAE CORRECTIONAL FACILITY, CCA",2012,Transferred,1
"MCRAE CORRECTIONAL FACILITY, CCA",2011,Transferred,2
"MCRAE CORRECTIONAL FACILITY, CCA",2010,Transferred,7
"MCRAE CORRECTIONAL FACILITY, CCA",2009,Transferred,1
"MCRAE CORRECTIONAL FACILITY, CCA",2008,Transferred,6
"MCRAE CORRECTIONAL FACILITY, CCA",2011,United States Citizen Interviewed,1
"MCRAE CORRECTIONAL FACILITY, CCA",2010,United States Citizen Interviewed,2
"MCRAE CORRECTIONAL FACILITY, CCA",2015,,137
"MCRAE CORRECTIONAL FACILITY, CCA",2014,,55
"MCRAE CORRECTIONAL FACILITY, CCA",2013,,127
"MCRAE CORRECTIONAL FACILITY, CCA",2012,,201
"MCRAE CORRECTIONAL FACILITY, CCA",2011,,282
"MCRAE CORRECTIONAL FACILITY, CCA",2010,,277
"MCRAE CORRECTIONAL FACILITY, CCA",2009,,51
"MCRAE CORRECTIONAL FACILITY, CCA",2008,,42
"MCRAE CORRECTIONAL FACILITY, CCA",2007,,15
