det_facility,year,lift_reason,count
MOSHANNON VALLEY CORRECTIONAL,2015,Alien Not Subject to Deportation,3
MOSHANNON VALLEY CORRECTIONAL,2014,Alien Not Subject to Deportation,1
MOSHANNON VALLEY CORRECTIONAL,2012,Alien Not Subject to Deportation,7
MOSHANNON VALLEY CORRECTIONAL,2011,Alien Not Subject to Deportation,6
MOSHANNON VALLEY CORRECTIONAL,2010,Alien Not Subject to Deportation,8
MOSHANNON VALLEY CORRECTIONAL,2009,Alien Not Subject to Deportation,3
MOSHANNON VALLEY CORRECTIONAL,2008,Alien Not Subject to Deportation,1
MOSHANNON VALLEY CORRECTIONAL,2015,Booked into Detention,88
MOSHANNON VALLEY CORRECTIONAL,2014,Booked into Detention,261
MOSHANNON VALLEY CORRECTIONAL,2013,Booked into Detention,534
MOSHANNON VALLEY CORRECTIONAL,2012,Booked into Detention,626
MOSHANNON VALLEY CORRECTIONAL,2011,Booked into Detention,679
MOSHANNON VALLEY CORRECTIONAL,2010,Booked into Detention,663
MOSHANNON VALLEY CORRECTIONAL,2009,Booked into Detention,707
MOSHANNON VALLEY CORRECTIONAL,2008,Booked into Detention,805
MOSHANNON VALLEY CORRECTIONAL,2007,Booked into Detention,30
MOSHANNON VALLEY CORRECTIONAL,2015,Case Closed,3
MOSHANNON VALLEY CORRECTIONAL,2014,Case Closed,28
MOSHANNON VALLEY CORRECTIONAL,2013,Case Closed,88
MOSHANNON VALLEY CORRECTIONAL,2012,Case Closed,49
MOSHANNON VALLEY CORRECTIONAL,2011,Case Closed,24
MOSHANNON VALLEY CORRECTIONAL,2010,Case Closed,42
MOSHANNON VALLEY CORRECTIONAL,2009,Case Closed,48
MOSHANNON VALLEY CORRECTIONAL,2008,Case Closed,99
MOSHANNON VALLEY CORRECTIONAL,2007,Case Closed,8
MOSHANNON VALLEY CORRECTIONAL,2013,Detainer Declined by LEA,1
MOSHANNON VALLEY CORRECTIONAL,2009,Died,1
MOSHANNON VALLEY CORRECTIONAL,2013,Early Release,2
MOSHANNON VALLEY CORRECTIONAL,2011,Early Release,1
MOSHANNON VALLEY CORRECTIONAL,2009,Early Release,1
MOSHANNON VALLEY CORRECTIONAL,2015,Lifted,10
MOSHANNON VALLEY CORRECTIONAL,2014,Lifted,49
MOSHANNON VALLEY CORRECTIONAL,2013,Lifted,25
MOSHANNON VALLEY CORRECTIONAL,2012,Lifted,31
MOSHANNON VALLEY CORRECTIONAL,2011,Lifted,25
MOSHANNON VALLEY CORRECTIONAL,2010,Lifted,19
MOSHANNON VALLEY CORRECTIONAL,2009,Lifted,35
MOSHANNON VALLEY CORRECTIONAL,2008,Lifted,38
MOSHANNON VALLEY CORRECTIONAL,2007,Lifted,3
MOSHANNON VALLEY CORRECTIONAL,2010,Lifted - Lack of Funds,1
MOSHANNON VALLEY CORRECTIONAL,2015,Prosecutorial Discretion,1
MOSHANNON VALLEY CORRECTIONAL,2014,Prosecutorial Discretion,1
MOSHANNON VALLEY CORRECTIONAL,2013,Prosecutorial Discretion,3
MOSHANNON VALLEY CORRECTIONAL,2012,Prosecutorial Discretion,1
MOSHANNON VALLEY CORRECTIONAL,2014,Transferred,2
MOSHANNON VALLEY CORRECTIONAL,2013,Transferred,5
MOSHANNON VALLEY CORRECTIONAL,2012,Transferred,5
MOSHANNON VALLEY CORRECTIONAL,2011,Transferred,4
MOSHANNON VALLEY CORRECTIONAL,2010,Transferred,5
MOSHANNON VALLEY CORRECTIONAL,2009,Transferred,10
MOSHANNON VALLEY CORRECTIONAL,2008,Transferred,5
MOSHANNON VALLEY CORRECTIONAL,2007,Transferred,3
MOSHANNON VALLEY CORRECTIONAL,2014,United States Citizen Interviewed,2
MOSHANNON VALLEY CORRECTIONAL,2013,United States Citizen Interviewed,1
MOSHANNON VALLEY CORRECTIONAL,2012,United States Citizen Interviewed,14
MOSHANNON VALLEY CORRECTIONAL,2011,United States Citizen Interviewed,3
MOSHANNON VALLEY CORRECTIONAL,2008,United States Citizen Interviewed,2
MOSHANNON VALLEY CORRECTIONAL,2015,,472
MOSHANNON VALLEY CORRECTIONAL,2014,,654
MOSHANNON VALLEY CORRECTIONAL,2013,,852
MOSHANNON VALLEY CORRECTIONAL,2012,,256
MOSHANNON VALLEY CORRECTIONAL,2011,,167
MOSHANNON VALLEY CORRECTIONAL,2010,,144
MOSHANNON VALLEY CORRECTIONAL,2009,,115
MOSHANNON VALLEY CORRECTIONAL,2008,,167
MOSHANNON VALLEY CORRECTIONAL,2007,,1
