"","lift_reason","average","median"
"1","",47.8467918854674,40
"2","Alien Not Subject to Deportation",1.1987389189975,0.274267837376409
"3","Booked into Detention",39.1731046320452,40
"4","Case Closed",8.99181793825756,5.66666666666667
"5","Detainer Declined by LEA",1.46213525690897,0.801620186832514
"6","Died",0.197839492375513,0.0314861460957179
"7","Early Release",2.10257942062097,0.551007556675063
"8","Lifted",14.547221979045,9.40448113207547
"9","Lifted - Lack of Funds",0.24538398598421,0.153351253363714
"10","Lifted - Lack of Space",0.149768304981861,0.149768304981861
"11","Prosecutorial Discretion",0.158057575016864,0.136054814780579
"12","Transferred",1.60768814650803,1.01834577114428
"13","United States Citizen Interviewed",0.296509423683644,0.182349605200017
