"","det_facility","lift_reason","count","count_all","freq"
"1","ADAMS COUNTY","",81,225,36
"2","ADAMS COUNTY","Booked into Detention",115,225,51.1111111111111
"3","ADAMS COUNTY","Case Closed",13,225,5.77777777777778
"4","ADAMS COUNTY","Lifted",15,225,6.66666666666667
"5","ADAMS COUNTY","Transferred",1,225,0.444444444444444
"6","ALLEN CORRECTION CENTER","",2,5,40
"7","ALLEN CORRECTION CENTER","Booked into Detention",2,5,40
"8","ALLEN CORRECTION CENTER","Lifted",1,5,20
"9","ARIZONA STATE PRISON COMP","",38,96,39.5833333333333
"10","ARIZONA STATE PRISON COMP","Booked into Detention",40,96,41.6666666666667
"11","ARIZONA STATE PRISON COMP","Case Closed",7,96,7.29166666666667
"12","ARIZONA STATE PRISON COMP","Lifted",9,96,9.375
"13","ARIZONA STATE PRISON COMP","Transferred",1,96,1.04166666666667
"14","ARIZONA STATE PRISON COMP","United States Citizen Interviewed",1,96,1.04166666666667
"15","ARIZONA STATE PRISON-KINGMAN","",3,5,60
"16","ARIZONA STATE PRISON-KINGMAN","Booked into Detention",2,5,40
"17","ARIZONA STATE PRISON-PHOENIX WEST","",3,6,50
"18","ARIZONA STATE PRISON-PHOENIX WEST","Booked into Detention",2,6,33.3333333333333
"19","ARIZONA STATE PRISON-PHOENIX WEST","Case Closed",1,6,16.6666666666667
"20","BENT COUNTY JAIL","",10,18,55.5555555555556
"21","BENT COUNTY JAIL","Booked into Detention",4,18,22.2222222222222
"22","BENT COUNTY JAIL","Case Closed",1,18,5.55555555555556
"23","BENT COUNTY JAIL","Detainer Declined by LEA",1,18,5.55555555555556
"24","BENT COUNTY JAIL","Lifted",1,18,5.55555555555556
"25","BENT COUNTY JAIL","Transferred",1,18,5.55555555555556
"26","BLACKWATER RIVER CORR. FAC.","",2,9,22.2222222222222
"27","BLACKWATER RIVER CORR. FAC.","Booked into Detention",7,9,77.7777777777778
"28","BROWARD TRANSITIONAL CENTER","",1,3,33.3333333333333
"29","BROWARD TRANSITIONAL CENTER","Booked into Detention",2,3,66.6666666666667
