"","lift_reason","average"
"1","",58.0269874271229
"2","Alien Not Subject to Deportation",1.26233313507716
"3","Booked into Detention",37.3860098320742
"4","Case Closed",6.53100158280914
"5","Detainer Declined by LEA",2.4745702660641
"6","Died",0.613798344020519
"7","Early Release",1.66173676457265
"8","Lifted",10.66512620076
"9","Lifted - Lack of Funds",0.477167576728644
"10","Lifted - Lack of Space",0.386816572346781
"11","Prosecutorial Discretion",1.04587912497039
"12","Transferred",2.42549401467301
"13","United States Citizen Interviewed",0.953677649559424
