"","det_facility","lift_reason","count","count_all","freq"
"1","","",987,1085,90.9677419354839
"2","","Booked into Detention",91,1085,8.38709677419355
"3","","Case Closed",2,1085,0.184331797235023
"4","","Detainer Declined by LEA",1,1085,0.0921658986175115
"5","","Lifted",3,1085,0.276497695852535
"6","","Transferred",1,1085,0.0921658986175115
"7","1ST CHOICE INNS","",1140,1606,70.9838107098381
"8","1ST CHOICE INNS","Booked into Detention",218,1606,13.574097135741
"9","1ST CHOICE INNS","Case Closed",181,1606,11.2702366127024
"10","1ST CHOICE INNS","Early Release",1,1606,0.062266500622665
"11","1ST CHOICE INNS","Lifted",54,1606,3.36239103362391
"12","1ST CHOICE INNS","Prosecutorial Discretion",1,1606,0.062266500622665
"13","1ST CHOICE INNS","Transferred",11,1606,0.684931506849315
"14","ABBEVILLE COUNTY DET CENTER","",23,31,74.1935483870968
"15","ABBEVILLE COUNTY DET CENTER","Booked into Detention",5,31,16.1290322580645
"16","ABBEVILLE COUNTY DET CENTER","Case Closed",1,31,3.2258064516129
"17","ABBEVILLE COUNTY DET CENTER","Lifted",2,31,6.45161290322581
"18","ABBOTT HOME","",1,3,33.3333333333333
"19","ABBOTT HOME","Died",1,3,33.3333333333333
"20","ABBOTT HOME","Lifted",1,3,33.3333333333333
"21","ABERDEEN CITY JAIL","",91,178,51.123595505618
"22","ABERDEEN CITY JAIL","Booked into Detention",67,178,37.6404494382023
"23","ABERDEEN CITY JAIL","Case Closed",9,178,5.0561797752809
"24","ABERDEEN CITY JAIL","Lifted",11,178,6.17977528089888
"25","ABILENE HOLD ROOM","",1,2,50
"26","ABILENE HOLD ROOM","Booked into Detention",1,2,50
"27","ABRAXAS-H GARCIA CENTER","",40,44,90.9090909090909
"28","ABRAXAS-H GARCIA CENTER","Case Closed",1,44,2.27272727272727
"29","ABRAXAS-H GARCIA CENTER","Lifted",3,44,6.81818181818182
"30","ACADIA PARISH DET. CENTER","",42,68,61.7647058823529
"31","ACADIA PARISH DET. CENTER","Booked into Detention",24,68,35.2941176470588
"32","ACADIA PARISH DET. CENTER","Lifted",2,68,2.94117647058824
"33","ACCOMACK COUNTY JAIL","",176,213,82.6291079812207
"34","ACCOMACK COUNTY JAIL","Booked into Detention",30,213,14.0845070422535
"35","ACCOMACK COUNTY JAIL","Lifted",7,213,3.28638497652582
"36","ACI, CRANSTON RI","",1022,1826,55.9693318729463
"37","ACI, CRANSTON RI","Alien Not Subject to Deportation",39,1826,2.13581599123768
"38","ACI, CRANSTON RI","Booked into Detention",471,1826,25.7940854326396
"39","ACI, CRANSTON RI","Case Closed",51,1826,2.79299014238773
"40","ACI, CRANSTON RI","Detainer Declined by LEA",17,1826,0.930996714129244
"41","ACI, CRANSTON RI","Early Release",2,1826,0.109529025191676
"42","ACI, CRANSTON RI","Lifted",201,1826,11.0076670317634
"43","ACI, CRANSTON RI","Transferred",4,1826,0.219058050383352
"44","ACI, CRANSTON RI","United States Citizen Interviewed",19,1826,1.04052573932092
"45","ACWORTH POLICE DEPT.","",69,101,68.3168316831683
"46","ACWORTH POLICE DEPT.","Booked into Detention",30,101,29.7029702970297
"47","ACWORTH POLICE DEPT.","Lifted",2,101,1.98019801980198
"48","ADA COUNTY JAIL","",113,1098,10.2914389799636
"49","ADA COUNTY JAIL","Alien Not Subject to Deportation",11,1098,1.00182149362477
"50","ADA COUNTY JAIL","Booked into Detention",402,1098,36.6120218579235
"51","ADA COUNTY JAIL","Case Closed",79,1098,7.19489981785064
"52","ADA COUNTY JAIL","Detainer Declined by LEA",1,1098,0.0910746812386157
"53","ADA COUNTY JAIL","Early Release",2,1098,0.182149362477231
"54","ADA COUNTY JAIL","Lifted",358,1098,32.6047358834244
"55","ADA COUNTY JAIL","Lifted - Lack of Funds",1,1098,0.0910746812386157
"56","ADA COUNTY JAIL","Prosecutorial Discretion",2,1098,0.182149362477231
"57","ADA COUNTY JAIL","Transferred",129,1098,11.7486338797814
"58","ADAIR COUNTY REGIONAL JAIL","",15,42,35.7142857142857
"59","ADAIR COUNTY REGIONAL JAIL","Booked into Detention",26,42,61.9047619047619
"60","ADAIR COUNTY REGIONAL JAIL","Lifted - Lack of Space",1,42,2.38095238095238
"61","ADAIR COUNTY SHERIFF/JAIL","",32,39,82.0512820512821
"62","ADAIR COUNTY SHERIFF/JAIL","Booked into Detention",7,39,17.9487179487179
"63","ADAMS CO JAIL, NEBRASKA","",83,94,88.2978723404255
"64","ADAMS CO JAIL, NEBRASKA","Booked into Detention",6,94,6.38297872340426
"65","ADAMS CO JAIL, NEBRASKA","Case Closed",1,94,1.06382978723404
"66","ADAMS CO JAIL, NEBRASKA","Lifted",4,94,4.25531914893617
"67","ADAMS COUNTY ADULT C.C.","",138,410,33.6585365853659
"68","ADAMS COUNTY ADULT C.C.","Alien Not Subject to Deportation",1,410,0.24390243902439
"69","ADAMS COUNTY ADULT C.C.","Booked into Detention",236,410,57.5609756097561
"70","ADAMS COUNTY ADULT C.C.","Case Closed",15,410,3.65853658536585
"71","ADAMS COUNTY ADULT C.C.","Early Release",1,410,0.24390243902439
"72","ADAMS COUNTY ADULT C.C.","Lifted",15,410,3.65853658536585
"73","ADAMS COUNTY ADULT C.C.","Lifted - Lack of Funds",2,410,0.48780487804878
"74","ADAMS COUNTY ADULT C.C.","Transferred",2,410,0.48780487804878
"75","ADAMS COUNTY DET CENTER","",792,2266,34.9514563106796
"76","ADAMS COUNTY DET CENTER","Alien Not Subject to Deportation",5,2266,0.220653133274493
"77","ADAMS COUNTY DET CENTER","Booked into Detention",654,2266,28.8614298323036
"78","ADAMS COUNTY DET CENTER","Case Closed",33,2266,1.45631067961165
"79","ADAMS COUNTY DET CENTER","Detainer Declined by LEA",2,2266,0.088261253309797
"80","ADAMS COUNTY DET CENTER","Early Release",3,2266,0.132391879964696
"81","ADAMS COUNTY DET CENTER","Lifted",764,2266,33.7157987643425
"82","ADAMS COUNTY DET CENTER","Lifted - Lack of Funds",2,2266,0.088261253309797
"83","ADAMS COUNTY DET CENTER","Transferred",6,2266,0.264783759929391
"84","ADAMS COUNTY DET CENTER","United States Citizen Interviewed",5,2266,0.220653133274493
"85","ADAMS COUNTY JAIL","",4095,5172,79.1763341067285
"86","ADAMS COUNTY JAIL","Alien Not Subject to Deportation",3,5172,0.0580046403712297
"87","ADAMS COUNTY JAIL","Booked into Detention",588,5172,11.368909512761
"88","ADAMS COUNTY JAIL","Case Closed",148,5172,2.861562258314
"89","ADAMS COUNTY JAIL","Detainer Declined by LEA",196,5172,3.78963650425367
"90","ADAMS COUNTY JAIL","Early Release",3,5172,0.0580046403712297
"91","ADAMS COUNTY JAIL","Lifted",100,5172,1.93348801237432
"92","ADAMS COUNTY JAIL","Prosecutorial Discretion",8,5172,0.154679040989946
"93","ADAMS COUNTY JAIL","Transferred",31,5172,0.59938128383604
"94","ADAMS COUNTY JUVENILE","",4,7,57.1428571428571
"95","ADAMS COUNTY JUVENILE","Booked into Detention",2,7,28.5714285714286
"96","ADAMS COUNTY JUVENILE","Lifted",1,7,14.2857142857143
"97","ADAMS COUNTY SHERIFF","",6,13,46.1538461538462
"98","ADAMS COUNTY SHERIFF","Booked into Detention",5,13,38.4615384615385
"99","ADAMS COUNTY SHERIFF","Detainer Declined by LEA",1,13,7.69230769230769
"100","ADAMS COUNTY SHERIFF","Lifted",1,13,7.69230769230769
"101","ADDISON COUNTY JAIL","",2,11,18.1818181818182
"102","ADDISON COUNTY JAIL","Booked into Detention",7,11,63.6363636363636
"103","ADDISON COUNTY JAIL","Lifted",2,11,18.1818181818182
"104","ADDISON POLICE DEPT.","",56,99,56.5656565656566
"105","ADDISON POLICE DEPT.","Booked into Detention",38,99,38.3838383838384
"106","ADDISON POLICE DEPT.","Lifted",4,99,4.04040404040404
"107","ADDISON POLICE DEPT.","Transferred",1,99,1.01010101010101
"108","ADELANTO DETENTION FACILITY","",23,71,32.3943661971831
"109","ADELANTO DETENTION FACILITY","Booked into Detention",44,71,61.9718309859155
"110","ADELANTO DETENTION FACILITY","Detainer Declined by LEA",1,71,1.40845070422535
"111","ADELANTO DETENTION FACILITY","Lifted",3,71,4.22535211267606
"112","ADIRONDACK CF, RAYBROOK","",30,121,24.7933884297521
"113","ADIRONDACK CF, RAYBROOK","Alien Not Subject to Deportation",1,121,0.826446280991736
"114","ADIRONDACK CF, RAYBROOK","Booked into Detention",67,121,55.3719008264463
"115","ADIRONDACK CF, RAYBROOK","Case Closed",3,121,2.47933884297521
"116","ADIRONDACK CF, RAYBROOK","Lifted",18,121,14.8760330578512
"117","ADIRONDACK CF, RAYBROOK","Lifted - Lack of Funds",1,121,0.826446280991736
"118","ADIRONDACK CF, RAYBROOK","Transferred",1,121,0.826446280991736
"119","ADOBE MOUNTAIN SCHOOL -JUV","",60,157,38.2165605095541
"120","ADOBE MOUNTAIN SCHOOL -JUV","Booked into Detention",59,157,37.5796178343949
"121","ADOBE MOUNTAIN SCHOOL -JUV","Case Closed",6,157,3.82165605095541
"122","ADOBE MOUNTAIN SCHOOL -JUV","Lifted",25,157,15.9235668789809
"123","ADOBE MOUNTAIN SCHOOL -JUV","Transferred",7,157,4.45859872611465
"124","ADOC FT GRANT","Booked into Detention",2,3,66.6666666666667
"125","ADOC FT GRANT","Case Closed",1,3,33.3333333333333
"126","ADOC MARANA","",2,31,6.45161290322581
"127","ADOC MARANA","Booked into Detention",11,31,35.4838709677419
"128","ADOC MARANA","Case Closed",13,31,41.9354838709677
"129","ADOC MARANA","Lifted",5,31,16.1290322580645
"130","ADOC SAFFORD, AZ","",28,156,17.9487179487179
"131","ADOC SAFFORD, AZ","Booked into Detention",49,156,31.4102564102564
"132","ADOC SAFFORD, AZ","Case Closed",50,156,32.0512820512821
"133","ADOC SAFFORD, AZ","Lifted",29,156,18.5897435897436
"134","ADRIAN TEMP, ADRIAN, MI","",1,3,33.3333333333333
"135","ADRIAN TEMP, ADRIAN, MI","Booked into Detention",1,3,33.3333333333333
"136","ADRIAN TEMP, ADRIAN, MI","Lifted",1,3,33.3333333333333
"137","ADULT DIAGNOSTIC & TRTMNT","",41,101,40.5940594059406
"138","ADULT DIAGNOSTIC & TRTMNT","Booked into Detention",51,101,50.4950495049505
"139","ADULT DIAGNOSTIC & TRTMNT","Case Closed",1,101,0.99009900990099
"140","ADULT DIAGNOSTIC & TRTMNT","Early Release",3,101,2.97029702970297
"141","ADULT DIAGNOSTIC & TRTMNT","Lifted",4,101,3.96039603960396
"142","ADULT DIAGNOSTIC & TRTMNT","Transferred",1,101,0.99009900990099
"143","AGANA INS","Booked into Detention",1,2,50
"144","AGANA INS","Lifted",1,2,50
"145","AGUADILLA SPC","Booked into Detention",5,7,71.4285714285714
"146","AGUADILLA SPC","Lifted",2,7,28.5714285714286
"147","AIKEN COUNTY DET CENTER","",295,381,77.4278215223097
"148","AIKEN COUNTY DET CENTER","Booked into Detention",79,381,20.7349081364829
"149","AIKEN COUNTY DET CENTER","Lifted",7,381,1.83727034120735
"150","AIRWAY HEIGHTS","",26,71,36.6197183098592
"151","AIRWAY HEIGHTS","Booked into Detention",37,71,52.112676056338
"152","AIRWAY HEIGHTS","Case Closed",1,71,1.40845070422535
"153","AIRWAY HEIGHTS","Early Release",1,71,1.40845070422535
"154","AIRWAY HEIGHTS","Lifted",6,71,8.45070422535211
"155","ALABAMA DEPT OF CORRECTION","",471,558,84.4086021505376
"156","ALABAMA DEPT OF CORRECTION","Booked into Detention",72,558,12.9032258064516
"157","ALABAMA DEPT OF CORRECTION","Case Closed",4,558,0.716845878136201
"158","ALABAMA DEPT OF CORRECTION","Detainer Declined by LEA",3,558,0.537634408602151
"159","ALABAMA DEPT OF CORRECTION","Lifted",6,558,1.0752688172043
"160","ALABAMA DEPT OF CORRECTION","Transferred",2,558,0.3584229390681
"161","ALACHUA COUNTY JAIL","",343,549,62.4772313296903
"162","ALACHUA COUNTY JAIL","Booked into Detention",144,549,26.2295081967213
"163","ALACHUA COUNTY JAIL","Case Closed",7,549,1.27504553734062
"164","ALACHUA COUNTY JAIL","Early Release",1,549,0.182149362477231
"165","ALACHUA COUNTY JAIL","Lifted",46,549,8.37887067395264
"166","ALACHUA COUNTY JAIL","Prosecutorial Discretion",1,549,0.182149362477231
"167","ALACHUA COUNTY JAIL","Transferred",7,549,1.27504553734062
"168","ALAMANCE CO. DET. FACILITY","",462,1603,28.82096069869
"169","ALAMANCE CO. DET. FACILITY","Alien Not Subject to Deportation",1,1603,0.0623830318153462
"170","ALAMANCE CO. DET. FACILITY","Booked into Detention",844,1603,52.6512788521522
"171","ALAMANCE CO. DET. FACILITY","Case Closed",133,1603,8.29694323144105
"172","ALAMANCE CO. DET. FACILITY","Died",1,1603,0.0623830318153462
"173","ALAMANCE CO. DET. FACILITY","Early Release",1,1603,0.0623830318153462
"174","ALAMANCE CO. DET. FACILITY","Lifted",136,1603,8.48409232688709
"175","ALAMANCE CO. DET. FACILITY","Lifted - Lack of Funds",1,1603,0.0623830318153462
"176","ALAMANCE CO. DET. FACILITY","Prosecutorial Discretion",1,1603,0.0623830318153462
"177","ALAMANCE CO. DET. FACILITY","Transferred",23,1603,1.43480973175296
"178","ALAMO POLICE DEPT.","",572,740,77.2972972972973
"179","ALAMO POLICE DEPT.","Alien Not Subject to Deportation",1,740,0.135135135135135
"180","ALAMO POLICE DEPT.","Booked into Detention",95,740,12.8378378378378
"181","ALAMO POLICE DEPT.","Case Closed",21,740,2.83783783783784
"182","ALAMO POLICE DEPT.","Early Release",1,740,0.135135135135135
"183","ALAMO POLICE DEPT.","Lifted",47,740,6.35135135135135
"184","ALAMO POLICE DEPT.","Prosecutorial Discretion",2,740,0.27027027027027
"185","ALAMO POLICE DEPT.","Transferred",1,740,0.135135135135135
"186","ALAMOSA COUNTY JAIL","",79,115,68.695652173913
"187","ALAMOSA COUNTY JAIL","Booked into Detention",27,115,23.4782608695652
"188","ALAMOSA COUNTY JAIL","Case Closed",2,115,1.73913043478261
"189","ALAMOSA COUNTY JAIL","Detainer Declined by LEA",1,115,0.869565217391304
"190","ALAMOSA COUNTY JAIL","Lifted",5,115,4.34782608695652
"191","ALAMOSA COUNTY JAIL","Transferred",1,115,0.869565217391304
"192","ALBANY COUNTY JAIL","",171,339,50.4424778761062
"193","ALBANY COUNTY JAIL","Alien Not Subject to Deportation",2,339,0.589970501474926
"194","ALBANY COUNTY JAIL","Booked into Detention",118,339,34.8082595870207
"195","ALBANY COUNTY JAIL","Case Closed",12,339,3.53982300884956
"196","ALBANY COUNTY JAIL","Lifted",28,339,8.25958702064897
"197","ALBANY COUNTY JAIL","Prosecutorial Discretion",2,339,0.589970501474926
"198","ALBANY COUNTY JAIL","Transferred",6,339,1.76991150442478
"199","ALBEMARLE-CHARLOTTSVILLE","",213,444,47.972972972973
"200","ALBEMARLE-CHARLOTTSVILLE","Booked into Detention",204,444,45.9459459459459
"201","ALBEMARLE-CHARLOTTSVILLE","Case Closed",6,444,1.35135135135135
"202","ALBEMARLE-CHARLOTTSVILLE","Early Release",2,444,0.45045045045045
"203","ALBEMARLE-CHARLOTTSVILLE","Lifted",14,444,3.15315315315315
"204","ALBEMARLE-CHARLOTTSVILLE","Prosecutorial Discretion",1,444,0.225225225225225
"205","ALBEMARLE-CHARLOTTSVILLE","Transferred",4,444,0.900900900900901
"206","ALBERMARIE DISTRICT JAIL","",7,35,20
"207","ALBERMARIE DISTRICT JAIL","Booked into Detention",25,35,71.4285714285714
