det_facility,city_or_state,customer,capacity,security,security_again,term,renewal
Citrus County Detention Facility,"Lecanto, Florida","Citrus County, Florida",760,Multi ,Multi ,20-Sep-20,Indefinite
Lake City Correctional Facility,"Lake City, Florida",State of Florida,893,Medium ,Medium ,16-Jun,Indefinite
Marion County Jail,"Indianapolis, Indiana","Marion County, Indiana","1,030",Multi ,Multi ,17-Dec-17,(1) 10 year
Hardeman County Correctional Facility,"Whiteville, Tennessee",State of Tennessee,"2,016",Medium ,Medium ,17-May,-
Metro-Davidson County Detention,"Nashville, Tennessee",Davidson Tennessee,"1,348",Multi ,Multi ,20-Jan,-
Silverdale Facilities,"Chattanooga, Tennessee","Hamilton County,","1,046",Multi ,Multi ,16-Apr,-
South Central Correctional Center,"Clifton, Tennessee",State of Tennessee,"1,676",Medium ,Medium ,16-Jun,(1) 2 year
Bartlett State Jail,"Bartlett, Texas",State of Texas,"1,049",Minimum/ Medium ,Minimum/ Medium ,17-Aug,-
Bradshaw State Jail,"Henderson, Texas",State of Texas,"1,980",Minimum/ Medium ,Minimum/ Medium ,17-Aug,-
Lindsey State Jail,"Jacksboro, Texas",State of Texas,"1,031",Minimum/ Medium ,Minimum/ Medium ,17-Aug,-
Willacy State Jail,"Raymondville, Texas",State of Texas,"1,069",Minimum/ Medium ,Minimum/ Medium ,17-Aug,-
