Central Arizona Detention Center,"Florence, Arizona",USMS ,"2,304",Multi ,Multi ,September 2018,(2) 5 year
Eloy Detention Center,"Eloy, Arizona",ICE ,"1,500",Medium ,Medium ,Indefinite ,-
Florence Correctional Center,"Florence, Arizona",USMS ,"1,824",Multi ,Multi ,September 2018,(2) 5 year
La Palma Correctional Center,"Eloy, Arizona",State of California ,"3,060",Medium ,Medium ,Jun-19 ,Indefinite
Red Rock Correctional Center (D),"Eloy, Arizona",State of Arizona ,"1,596",Medium ,Medium ,Jan-24 ,(2) 5 year
Saguaro Correctional Facility,"Eloy, Arizona",State of Hawaii ,"1,896",Medium ,Medium ,Jun-16 ,-
CAI Boston Avenue,"San Diego, California",BOP ,120,- ,- ,May-16 ,-
CAI Ocean View,"San Diego, California",BOP ,483,- ,- ,May-16 ,-
Leo Chesney Correctional Center,"Live Oak, California",- ,240,- ,- ,- ,-
Otay Mesa Detention Center (E),"San Diego, California",ICE ,"1,482",Minimum/ Medium,Minimum/ Medium,Jun-17 ,(2) 3 year
Bent County Correctional Facility,"Las Animas, Colorado",State of Colorado ,"1,420",Medium ,Medium ,Jun-16 ,-
Crowley County Correctional Facility,"Olney Springs, Colorado",State of Colorado ,"1,794",Medium ,Medium ,Jun-16 ,-
Huerfano County Correctional Center,"Walsenburg, Colorado",- ,752,Medium ,Medium ,- ,-
Kit Carson Correctional Center,"Burlington, Colorado",State of Colorado ,"1,488",Medium ,Medium ,Jun-16 ,-
Coffee Correctional Facility (F),"Nicholls, Georgia",State of Georgia ,"2,312",Medium ,Medium ,Jun-16 ,(18) 1 year
Jenkins Correctional Center (F),"Millen, Georgia",State of Georgia ,"1,124",Medium ,Medium ,Jun-16 ,(19) 1 year
McRae Correctional Facility,"McRae, Georgia",BOP ,"1,978",Medium ,Medium ,November 2016,(3) 2 year
Stewart Detention Center,"Lumpkin, Georgia",ICE ,"1,752",Medium ,Medium ,Indefinite ,-
Wheeler Correctional Facility (F),"Alamo, Ge orgia",State of Georgia ,"2,312",Medium ,Medium ,Jun-16 ,(18) 1 year
Leavenworth Detention Center,"Leavenworth, Kansas",USMS ,"1,033",Maximum ,Maximum ,December 2016,(2) 5 year
Lee Adjustment Center,"Beattyville, Kentucky",- ,816,Minimum/ Medium,Minimum/ Medium,- ,-
Marion Adjustment Center,"St. Mary, Kentucky",- ,826,Minimum/ Medium,Minimum/ Medium,- ,-
Otter Creek Correctional Center (G),"Wheelwright, Kentucky",- ,656,Minimum/ Medium,Minimum/ Medium,- ,-
Prairie Correctional Facility,"Appleton, Minnesota",- ,"1,600",Medium ,Medium ,- ,-
Adams County Correctional Center,"Adams County, Mississippi",BOP ,"2,232",Medium ,Medium ,Jul-17 ,(1) 2 year
Tallahatchie County Correctional,Facility (H),State of California,"2,672",Medium ,Medium ,Jun-19 ,Indefinite
"Tutwiler, Mississippi",Crossroads Correctional Center (I), State of,, Multi, Multi, Jun-17,
"Shelby, Montana",Nevada Southern Detention Center,Montana Office of the,, Medium, Medium, September,
