pvt_facility,det_facility
Stewart Detention Center,STEWART DETENTION CENTER
Laredo Processing Center,LAREDO PROCESSING CENTER
Marion County Jail,MARION COUNTY JAIL
Whiteville Correctional Facility (M),WHITEVILLE CORRECTIONAL FACILITY
McRae Correctional Facility,"MCRAE CORRECTIONAL FACILITY, CCA"
Lake Erie Correctional Institution (J),LAKE ERIE CORRECTIONAL
Adams County Correctional Center,ADAMS COUNTY
Florence Correctional Center,"CCA, FLORENCE CORRECTIONAL CENTER"
Hardeman County Correctional Facility,HARDEMAN COUNTY JAIL
Leavenworth Detention Center,LEAVENWORTH USP
Prairie Correctional Facility,PRAIRIE CORRECT. FACILITY
Huerfano County Correctional Center,HUERFANO COUNTY JAIL
El Paso Transitional Center,EL PASO SPC
Kit Carson Correctional Center,KIT CARSON COUNTY
South Central Correctional Center,SOUTH CENTRAL CORR.FAC.
Northeast Ohio Correctional Center,NORTHEAST CORR CENTER
Diamondback Correctional Facility,DIAMONDBACK CORR FACILITY
Marion Adjustment Center,MARION USP
Corpus Christi Transitional Center,CORPUS CHRISTI FACILITY
Crowley County Correctional Facility,CROWLEY COUNTY JAIL
Bent County Correctional Facility,BENT COUNTY JAIL
