pvt_facility,state,capacity,det_facility
Arizona State Prison-Kingman,ARIZONA,"3,400",ARIZONA STATE PRISON-KINGMAN
Arizona State Prison-Phoenix West,ARIZONA,500,ARIZONA STATE PRISON-PHOENIX WEST
South Texas Detention Complex,TX,"1,904",SOUTH TEXAS DETENTION COMPLEX
East Hidalgo Detention Center,TX,"1,300",EAST HIDALGO DETENTION CENTER
Broward Transitional Center,FL,700,BROWARD TRANSITIONAL CENTER
Rivers Correctional Institution,NC,"1,450",RIVERS CORRECTIONAL INSTITUTION
Pine Prairie Correctional Center,LA,"1,094",PINE PRAIRIE CORRECTIONAL CENTER
Rio Grande Detention Center,TX,"1,900",RIO GRANDE DETENTION CENTER
Graceville Correctional Facility,FLORIDA,"1,884",GRACEVILLE CORRECTIONAL FACILITY
South Bay Correctional Facility,FLORIDA,"1,948",SOUTH BAY CORRECTIONAL FACILITY
Moshannon Valley Correctional Center,PA,"1,824",MOSHANNON VALLEY CORRECTIONAL
Great Plains Correctional Facility,OK,"1,940",GREAT PLAINS CORRECTIONAL
Baldwin Park,Baldwin Park,,BALDWIN PARK POLICE DEPT.
Garden Grove,Garden Grove,,GARDEN GROVE POLICE DEPT.
Montebello,Montebello,,MONTEBELLO POLICE DEPT.
Ontario,Ontario,,ONTARIO COUNTY JAIL
Lawton Correctional Facility,OKLAHOMA,"2,682",LAWTON CORRECTIONAL FAC.
Desert View Modified Community Correctional Facility,CALIFORNIA,700,DESERT VIEW
Allen Correctional Center,LOUISIANA,"1,576",ALLEN CORRECTION CENTER
McFarland Female Community Reentry Facility,CALIFORNIA,300,MCFARLAND CCF
Mesa Verde Detention Facility,CA,400,MESA VERDE CCF
Guadalupe County Correctional Facility,NEW MEXICO,600,GUADALUPE CTY JAIL
Reeves County Detention Complex I&II,TX,"2,407",REEVES COUNTY JAIL
Joe Corley Detention Facility,TX,"1,517",JOE CORLEY DET. FACILITY
Lea County Correctional Facility,NEW MEXICO,"1,200",LEA COUNTY JAIL
Blackwater River Correctional Facility,FLORIDA,"2,000",BLACKWATER RIVER CORR. FAC.
