Central Arizona Detention Center ,USMS ,"2,304",Multi ,Detention ,9/1/2018,(2) 5 year 
"Florence, Arizona ",,,,,7/10/1905,
Eloy Detention Center ,ICE ,"1,500",Medium ,Detention ,Indefinite ,- 
"Eloy, Arizona ",,,,,,
Florence Correctional Center ,USMS ,"1,824",Multi ,Detention ,9/1/2018,(2) 5 year  
"Florence, Arizona ",,,,,7/10/1905,
La Palma Correctional Center ,State of California ,"3,060",Medium ,Correctional ,6/19/2016,Indefinite 
"Eloy, Arizona ",,,,,,
Red Rock Correctional Center (D) ,State of Arizona ,"1,596",Medium ,Correctional  ,1/24/2016,(2) 5 year  
"Eloy, Arizona ",,,,,,
Saguaro Correctional Facility ,State of Hawaii ,"1,896",Medium ,Correctional  ,6/16/2016,- 
"Eloy, Arizona ",,,,,,
CAI Boston Avenue ,BOP ,120,-  ,Community ,5/16/2016,- 
"San Diego, California ",,,,Corrections  ,,
CAI Ocean View ,BOP ,483,- ,Community ,5/16/2016,- 
"San Diego, California ",,,,Corrections ,,
Leo Chesney Correctional Center ,- ,240,- ,- ,- ,- 
"Live Oak, California ",,,,,,
Otay Mesa Detention Center (E) ,ICE ,"1,482",Minimum/ ,Detention ,6/17/2016,(2) 3 year 
"San Diego, California ",,,Medium ,,,
Bent County Correctional Facility ,State of Colorado ,"1,420",Medium ,Correctional ,6/16/2016,- 
"Las Animas, Colorado ",,,,,,
Crowley County Correctional Facility ,State of Colorado ,"1,794",Medium ,Correctional ,6/16/2016,- 
"Olney Springs, Colorado ",,,,,,
Huerfano County Correctional Center  ,- ,752,Medium ,Correctional ,- ,- 
"Walsenburg, Colorado ",,,,,,
Kit Carson Correctional Center ,State of Colorado ,"1,488",Medium ,Correctional ,6/16/2016,- 
"Burlington, Colorado ",,,,,,
Coffee Correctional Facility (F) ,State of Georgia  ,"2,312",Medium ,Correctional ,6/16/2016,(18) 1 year 
"Nicholls, Georgia ",,,,,,
Jenkins Correctional Center (F) ,State of Georgia ,"1,124",Medium ,Correctional ,6/16/2016,(19) 1 year 
"Millen, Georgia ",,,,,,
McRae Correctional Facility ,BOP ,"1,978",Medium ,Correctional ,11/1/2016,(3) 2 year 
"McRae, Georgia ",,,,,7/8/1905,
Stewart Detention Center ,ICE ,"1,752",Medium ,Detention ,Indefinite ,- 
"Lumpkin, Georgia ",,,,,,
Wheeler Correctional Facility (F) ,State of Georgia ,"2,312",Medium ,Correctional ,6/16/2016,(18) 1 year 
"Alamo, Ge orgia ",,,,,,
Leavenworth Detention Center ,USMS ,"1,033",Maximum ,Detention ,12/1/2016,(2) 5 year 
"Leavenworth, Kansas ",,,,,7/8/1905,
Lee Adjustment Center ,- ,816,Minimum/ ,Correctional ,- ,- 
"Beattyville, Kentucky ",,,Medium ,,,
Marion Adjustment Center  ,- ,826,Minimum/ ,Correctional ,- ,- 
"St. Mary, Kentucky ",,,Medium ,,,
Otter Creek Correctional Center (G) ,- ,656,Minimum/ ,Correctional ,- ,- 
"Wheelwright, Kentucky ",,,Medium ,,,
Prairie Correctional Facility  ,- ,"1,600",Medium ,Correctional ,- ,- 
"Appleton, Minnesota ",,,,,,
Adams County Correctional Center ,BOP ,"2,232",Medium ,Correctional ,7/17/2016,(1) 2 year 
"Adams County, Mississippi ",,,,,,
Tallahatchie County Correctional  ,State of ,"2,672",Medium ,Correctional ,6/19/2016,Indefinite 
Facility (H) ,California ,,,,,
"Tutwiler, Mississippi ",,,,,,
Crossroads Correctional Center (I) ,State of  ,664,Multi ,Correctional ,6/17/2016,(1) 2 year 
"Shelby, Montana ",Montana ,,,,,
Nevada Southern Detention Center ,Office of the ,"1,072",Medium ,Detention ,9/1/2020,(2) 5 year 
"Pahrump, Nevada ",Federal ,,,,7/12/1905,
Elizabeth Detention Center ,ICE ,300,Minimum ,Detention ,8/16/2016,(5) 1 year 
"Elizabeth, New Jersey ",,,,,,
Cibola County Corrections Center ,BOP ,"1,129",Medium ,Correctional ,9/1/2016,(2) 2 year 
"Milan, New Mexico ",,,,,7/8/1905,
New Mexico Women‰Ûªs Correctional Facility ,State of ,596,Multi ,Correctional ,6/16/2016,- 
"Grants, New Mexico ",New Mexico ,,,,,
Torrance County Detention Facility ,,,,,,
"Estancia, New Mexico ",USMS ,910,Multi ,Detention ,Indefinite ,- 
Lake Erie Correctional Institution (J) ,,,,,,
"Conneaut, Ohio ",State of Ohio ,"1,798",Medium ,Correctional ,6/1/1932,Indefinite 
Northeast Ohio Correctional Center  ,,,,,,
"Youngstown, Ohio ",USMS ,"2,016",Medium ,Correctional ,12/1/2016,(1) 2 year 
Carver Transitional Center  ,,,,,7/8/1905,
"Oklahoma City, Oklahoma ",State of ,494,- ,Community ,6/16/2016,(2) 1 year 
Cimarron Correctional Facility (K) ,Oklahoma ,,,Corrections ,,
"Cushing, Oklahoma ",State of ,"1,692",Medium ,Correctional ,6/16/2016,(3) 1 year 
Davis Correctional Facility (K) ,Oklahoma ,,,,,
"Holdenville, Oklahoma ",State of ,"1,670",Medium ,Correctional ,6/16/2016,(3) 1 year 
Diamondback Correctional Facility  ,Oklahoma ,,,,,
"Watonga, Oklahoma ",- ,"2,160",Medium ,Correctional ,_ ,_ 
North Fork Correctional Facility (L) ,,,,,,
"Sayre, Oklahoma ",- ,"2,400",Medium ,Correctional ,- ,- 
Tulsa Transitional Center  ,,,,,,
"Tulsa, Oklahoma ",,,,,,Remaining 
Turley Residential Center  ,State of ,390,- ,Community ,6/16/2016,(2) 1 year 
"Tulsa, Oklahoma ",Oklahoma ,,,Corrections ,,
Shelby Training Center  ,State of ,289,- ,Community ,6/16/2016,(3) 1 year 
"Memphis, Tennessee ",Oklahoma ,,,Corrections ,,
Trousdale Turner Correctional Center ,- ,200,- ,- ,- ,- 
"Hartsville, Tennessee ",,,,,,
West Tennessee Detention Facility ,State of ,"2,552",Multi ,Correctional ,12/1/2020,- 
"Mason, Tennessee ",Tennessee ,,,,7/12/1905,
Whiteville Correctional Facility (M) ,USMS ,600,Multi ,Detention ,9/1/2016,(6) 2  year  
"Whiteville, Tennessee ",,,,,7/8/1905,
Austin Residential Re-entry Center  ,State of ,"1,536",Medium ,Correctional ,6/16/2016,- 
"Del Valle, Texas ",Tennessee ,,,,,
Austin Transitional Center  ,BOP ,116,- ,Community ,8/16/2016,(1) 1 year 
"Del Valle, Texas ",,,,Corrections ,,
Corpus Christi Transitional Center  ,State of Texas ,460,- ,Community ,8/16/2016,(4) 1 year 
"Corpus Christi, Texas ",,,,Corrections ,,
Dallas Transitional Center  ,State of Texas ,160,- ,Community ,8/17/2016,(1) 2 year 
"Hutchins, Texas ",,,,Corrections ,,
Eden Detention Center ,State of Texas ,300,- ,Community ,8/16/2016,(4) 1 year 
"Eden, Texas ",,,,Corrections ,,
El Paso Multi-Use Facility  ,BOP ,"1,422",Medium ,Correctional ,4/17/2016,- 
"El Paso, Texas ",,,,,,
El Paso Transitional Center  ,State of Texas ,360,- ,Community ,8/16/2016,(4) 1 year 
"El Paso, Texas ",,,,Corrections ,,
Fort Worth Transitional Center  ,State of Texas ,224,- ,Community ,8/16/2016,(4) 1 year 
"Fort Worth, Texas ",,,,Corrections ,,
Houston Processing Center ,State of Texas ,248,- ,Community ,8/16/2016,(4) 1 year 
"Houston, Texas ",,,,Corrections ,,
Laredo Processing Center ,ICE ,"1,000",Medium ,Detention ,3/16/2016,- 
"Laredo, Texas ",,,,,,
South Texas Family Residential Center  ,ICE ,258,Minimum/ ,Detention ,6/18/2016,- 
"Dilley, Texas ",,,Medium ,,,
T. Don Hutto Residential Center ,ICE ,"2,400",- ,Residential ,9/1/2018,- 
"Taylor, Texas ",,,,,7/10/1905,
Webb County Detention Center ,ICE ,512,Medium ,Detention  ,1/20/2016,Indefinite 
"Laredo, Texas ",,,,,,
Cheyenne Transitional Center  ,USMS ,480,Medium ,Detention ,11/1/2017,- 
"Cheyenne, Wyoming ",,,,,7/9/1905,
D.C. Correctional Treatment Facility (N) ,State of ,116,- ,Community ,6/16/2016,Indefinite 
,Wyoming ,,,Corrections ,,
,District of ,"1,500",Medium ,Detention ,3/17/2016,- 
