1. Adelanto Detention Facility (CA) ,"1,940"
2. Alexandria Transfer Center (LA) ,400
3. Aurora Detention Facility (CO) ,"1,532"
4. Big Spring Correctional Center (TX) ,"3,509"
5. Brooks County Detention Center (TX) ,652
6. Broward Transitional Center (FL) ,700
7. Central Texas Detention Facility (TX) ,688
8. Coastal Bend Detention Center (TX) ,"1,176"
9. D. Ray James Correctional Facility (GA) ,"2,847"
10. East Hidalgo Detention Center (TX) ,"1,300"
11. Great Plains Correctional Facility (OK) ,"1,940"
12. Joe Corley Detention Facility (TX) ,"1,517"
13. Karnes Correctional Center (TX) ,679
14. Karnes County Residential Center (TX) ,"1,158"
15. LaSalle Detention Facility (LA) ,"1,160"
16. Mesa Verde Detention Facility (CA) ,400
17. Moshannon Valley Correctional Center (PA) ,"1,824"
18. Northwest Detention Center (WA) ,"1,575"
19. Pine Prairie Correctional Center (LA) ,"1,094"
20. Queens Detention Facility (NY) ,222
21. Reeves County Detention Complex I&II (TX) ,"2,407"
22. Reeves County Detention Complex III (TX) ,"1,356"
23. Rio Grande Detention Center (TX) ,"1,900"
24. Rivers Correctional Institution (NC) ,"1,450"
25. Robert A. Deyton Detention Facility (GA) ,768
26. South Texas Detention Complex (TX) ,"1,904"
27. Val Verde Correctional Facility (TX) ,"1,407"
28. Western Region Detention Facility (CA) ,770
