"","","","","","",Remaining 
"",Primary ,Design ,Security ,Facility  ,"",Renewal 
Facility Name ,Customer ,Capacity (A) ,Level ,Type (B) ,Term ,Options (C) 
Owned and Managed Facilities: ,"","","","","",""
Central Arizona Detention Center ,USMS ,"2,304 ",Multi ,Detention ,September ,(2) 5 year 
"Florence, Arizona ","","","","",2018 ,""
Eloy Detention Center ,ICE ,"1,500 ",Medium ,Detention ,Indefinite ,- 
"Eloy, Arizona ","","","","","",""
Florence Correctional Center ,USMS ,"1,824 ",Multi ,Detention ,September ,(2) 5 year  
"Florence, Arizona ","","","","",2018 ,""
La Palma Correctional Center ,State of California ,"3,060 ",Medium ,Correctional ,June 2019 ,Indefinite 
"Eloy, Arizona ","","","","","",""
Red Rock Correctional Center (D) ,State of Arizona ,"1,596 ",Medium ,Correctional  ,January 2024 ,(2) 5 year  
"Eloy, Arizona ","","","","","",""
Saguaro Correctional Facility ,State of Hawaii ,"1,896 ",Medium ,Correctional  ,June 2016 ,- 
"Eloy, Arizona ","","","","","",""
CAI Boston Avenue ,BOP ,120 ,-  ,Community ,May 2016 ,- 
"San Diego, California ","","","",Corrections  ,"",""
CAI Ocean View ,BOP ,483 ,- ,Community ,May 2016 ,- 
"San Diego, California ","","","",Corrections ,"",""
Leo Chesney Correctional Center ,- ,240 ,- ,- ,- ,- 
"Live Oak, California ","","","","","",""
Otay Mesa Detention Center (E) ,ICE ,"1,482 ",Minimum/ ,Detention ,June 2017 ,(2) 3 year 
"San Diego, California ","","",Medium ,"","",""
Bent County Correctional Facility ,State of Colorado ,"1,420 ",Medium ,Correctional ,June 2016 ,- 
"Las Animas, Colorado ","","","","","",""
Crowley County Correctional Facility ,State of Colorado ,"1,794 ",Medium ,Correctional ,June 2016 ,- 
"Olney Springs, Colorado ","","","","","",""
Huerfano County Correctional Center  ,- ,752 ,Medium ,Correctional ,- ,- 
"Walsenburg, Colorado ","","","","","",""
Kit Carson Correctional Center ,State of Colorado ,"1,488 ",Medium ,Correctional ,June 2016 ,- 
"Burlington, Colorado ","","","","","",""
Coffee Correctional Facility (F) ,State of Georgia  ,"2,312 ",Medium ,Correctional ,June 2016 ,(18) 1 year 
"Nicholls, Georgia ","","","","","",""
Jenkins Correctional Center (F) ,State of Georgia ,"1,124 ",Medium ,Correctional ,June 2016 ,(19) 1 year 
"Millen, Georgia ","","","","","",""
McRae Correctional Facility ,BOP ,"1,978 ",Medium ,Correctional ,November ,(3) 2 year 
"McRae, Georgia ","","","","",2016 ,""
Stewart Detention Center ,ICE ,"1,752 ",Medium ,Detention ,Indefinite ,- 
"Lumpkin, Georgia ","","","","","",""
Wheeler Correctional Facility (F) ,State of Georgia ,"2,312 ",Medium ,Correctional ,June 2016 ,(18) 1 year 
"Alamo, Ge orgia ","","","","","",""
Leavenworth Detention Center ,USMS ,"1,033 ",Maximum ,Detention ,December ,(2) 5 year 
"Leavenworth, Kansas ","","","","",2016 ,""
"","","","","","",Remaining 
"",Primary ,Design ,Security ,Facility  ,"",Renewal 
Facility Name ,Customer ,Capacity (A) ,Level ,Type (B) ,Term ,Options (C)
Lee Adjustment Center ,- ,816 ,Minimum/ ,Correctional ,- ,- 
"Beattyville, Kentucky ","","",Medium ,"","",""
Marion Adjustment Center  ,- ,826 ,Minimum/ ,Correctional ,- ,- 
"St. Mary, Kentucky ","","",Medium ,"","",""
Otter Creek Correctional Center (G) ,- ,656 ,Minimum/ ,Correctional ,- ,- 
"Wheelwright, Kentucky ","","",Medium ,"","",""
Prairie Correctional Facility  ,- ,"1,600 ",Medium ,Correctional ,- ,- 
"Appleton, Minnesota ","","","","","",""
Adams County Correctional Center ,BOP ,"2,232 ",Medium ,Correctional ,July 2017 ,(1) 2 year 
"Adams County, Mississippi ","","","","","",""
Tallahatchie County Correctional  ,State of ,"2,672 ",Medium ,Correctional ,June 2019 ,Indefinite 
Facility (H) ,California ,"","","","",""
"Tutwiler, Mississippi ","","","","","",""
